,Mama's Buoi
26,"If zomato provides negative points,i would like to give that to mama buoi.Today we went here and we find the worst service here.Their waiters don’t know how to talk to the customers.They argued with us for the seats and even insulted us.Won’t recommend anyone to go here.They keep on shifting us from here to there and when we said no,they argued with us.No manners how to handle the customers."
27,Hiya foodiesRecently went to this cafe.It was small but cozyy . I likes the ambiance and the vibe☺️I ordered:Chilli paneer quasadelise And Tandoori chicken ♥️♥️Both were just awesome ☺️☺️Do visit ☺️☺️
28,Mama's buoi one of the top rated nd famous cafe in hudson lane. The ambience is pretty photogenic it will definately give you instaworthy pictures the great thing is they have the option for both indoor as well as outdoor seating. Live music and dj will never let you feel bored The crowd is decent here well now lets talk about our favourite thing Food!!What i ordered:1. Arabiata sphagetti- i love pasta more than anything when its about food nd order it everywhere just to know which place serves the best pasta nd honestly saying this pasta was a treat for my tastebuds with perfect blend of spice and sauces it just satisfied my pasta craving.2. Cheese croquettes- the presentation was...read more
29,We tried North Indian food and mocktails. Their paneer lababdaar and garlic naan were finger licking good and mocktails were good too. Will love to visit this place again in future.
30,"Mama's buoi is one of the most costliest cafe in Hudson Lane. The cafe has an amazing ambience with both indoor seating and roof top seating.Ambience is awesome and very photogenic.We tried many dishes and among them I loved the Butter Chicken Pizza most 😍 it was cheesy and loaded with chicken. then we had noodles and manchurian. The quantity was enough for 2 people after having such amazing starters. Manchurian balls were small and stuffed nicely. Noodles had good amount of spices as per the Hakka noddles. Whenever you are thinking to enjoy in Hudson Lane and have good pocket to spend, then it is a go to place for you, for sure!"
31,"I along with my brother visited this restaurant a little late in the afternoon.As it was cold outside, so we settled for the in-house restaurant instead of rooftop. Ambience was perfect with slow music in the background ideal for people who doesn't like loud music and crowdy places . Coming to the starters, we ordered grilled fish , chicken lababdaar,masala peanuts.All 3 dishes were delicious in taste. Let me just mention that grilled fish (served with vegetables , mayonnaise and sauces)is a must try for all. Now , coming to the main course ,we had mutton Rogan Rosh and fried rice and chicken biryani. Mutton was really spicy and delicious in taste. People often won't mention about alcohol...read more"
32,Everything was perfect ..
33,"We tried the Butter chicken balls for the first time that night and the food was great, freshly cooked very tasty and well presented. The waiters were attentive and service overall was good. The restaurant looked to have been decorated. Overall a good meal and great value we will certainly be going back."
34,"It was an amazing night there. I had white sauce pasta , cheese corn pizza and butter chicken balls they were all extremely yummy and the presentation was very good"
35,"Had crispy chilli baby corn and tequila shots at this amazing cafe for hanging out. Also, had burger, sandwich, pizza and spaghetti Loved the place and its food."
36,The drinks were not upto the mark. The food was also little expensive which was not at all worth . The place was also smelling bad .
37,"Amazing Cafe to visit in Gtb nagar . I recently visited it with some of my friends and enjoyed a lot. The ambiance is cool and it has terrace sitting too which I felt makes it more amazing to visit. The food was also tasty and worth trying. We ordered- spring rolls , Pan fried noodles, Pizza and malai chicken tikka. My favourite are Spring rolls and pizza . Will surely visit again to try more delicious food."
38,"Food: DecentService: GoodAmbiance: GoodI did not find anything special with my taste buds, for the food was quiet average. The alcohol and hookah is priced decently.The service was okay, the ambiance is good. It has a big DJ area, if you're in for a Friday party. The music is too loud if you're looking to chitchat.Overall it was worth the money!"
39,"This place is located on third floor, hundson lane, Delhi. I visited this place last month end with my friends for the first time. The Ambience was amazing . Staff was polite and courteous. The food and drinks were served really quickly. Food was really good we loved the spices. This place is little bit expensive. Overall everything was good. Will visit again."
40,"This is hands down one of my favourite places to visit in Hudson Lane. From the rooftop ambience to the food to drinks, everything is pretty amazing. I went for a birthday lunch and it was pretty amazing. North Indian is so delicious here that you will keep licking your fingers. A must-go-to place in GTB Nagar area."
41,Every thing is good staff is also great ambience is great i like mamas boi
42,"The ice in the drink was so old. Paper like thing was floating over my drink. But they did nt change it, instead they just gave me in some other glass and they thought as if I didn’t notice."
43,Lil bit delayed services rest everything was perfect 
44,This place is amazing with the taste n the ambiance too really !!
45,"Mama's buoi is an amazing place to hang out with friends especially the roof top. They have ample space for parties. Came here for lunch and tried there Mexican delight chicken burger, Tiranga soya chaap and cornitos(nachos). All of the dishes were delicious. I loved there Cornitos which had amazing feeling of tomato salsa and cheese, you can't miss those.Everything was on top of taste and we really enjoyed from burger to chaap to drinks to hospitality.All in all thumbs up for staff and food experience."
46,santosh services was very good place is also good for frnds and fmly
47,Santosh service was too good place was also very good for frnds and fmly 
48,"Was served by Santosh yadav, had great sheesha and amazing service. Must visit"
49,"Mama's buoi, amazing experience with my friends, enjoyed the food with the music. Rooftop experience was good. I tried veg momos, pizza, sangria,chicken sandwich with fries, chilly garlic noodles, and everything was really tasty and upto my expectations. Enjoyed alot, will visit this place again."
50,Worst restaurant in GTB Nagar. The service is really slow. Waiters simply don't listen here. The food is served in hours and that too cold and tasteless.
51,"Dirty tables, unhygienic place, rude wIters and totally tasteless food. I regretted visiting this place. "
52,"I have been to this place multiple times..Just an amazing placeIt has the beautiful ambienceThe aura made me feel so goodThe food was also very palatableI had pizza,spring rolls,momos,nachosEverything tasted amazingMust visit"
53,"There is only rooftop right now as there is some renovation is going on. Their drums of heaven, chicken tikka and garlic breads were nice. Their virgin mojito was average. They serve hookah but it is little bit expensive. They charge more than 1000 rupees for that."
54,The place is quite good in terms of food and as well as the ambience. I had small issues like quantity of salt and spice in some of the dishes otherwise it was nice. 
55,"I love the vibe of this place. Ambience is super cool. And you must go there on weekends for the live music, its a different vibe❤i love the food, staff and everything🤩"
56,"Awesome music , gud food , beautiful interiors. Pls just renovate Ur rooftop. The view is gr8 but needs a paint, but everything gets covered by the ambience and your live band. Ur pizzas r delicious"
57,Hi! Could you please tell me the price of a single/double flavoured hukkah? I found this chrome but not here on zomato :) please do let me know the price of a hookah if still served. 
58,Astounding feel stunning sustenance. My most loved spot in Gtb nagar. I had margarine chicken and paneer spread masala. Everything tasted delightful. Staff was inviting and kind. Adored the spot. In case you're searching for a bistro for tasty and pocket well disposed social gathering than this spot is the one. It's the ideal spot to mess around with companions. Likewise I would propose this for birthday parties.
59,Expected more from this place. The food could be better and the ambience too. Hope they can improve on this and my next visit is successful! 
60,Lovely Ambiance • Low on Pocket • Great Food • Alcohol AvailableWhat we tried:Drums of Heaven (4.5/5)Whiskey (30 ml)A pint of Beer
61,A very spacious restaurant with a great atmosphere. Their chicken soup is delicious. North Indian cuisine is yummy specially Butter chicken. Great place to dine with your family. Kids friendly also with a lot of variety in the menu.
62,"We a group of four visited the place on a Monday evening. Normally you expect someone to greet you. But Noone seemed to care.Finally, we found a cleaning guy who was ready to talk and he told us to go upstairs. The claim of no stag entry is false(I'm not against that but one shouldn't make false claims), terrace didn't look friendly and the sex ratio was skewed.They had so much of space there but they refused to give a decent place to sit even when we had reservations.They don't honor Zomato reservations, the guy in a red shirt showed a fake list even when I was showing reservation on my phone. The guy in red shirt (9th September)is toxic and will take this place down with his stupid...read more"
63,"The ambience was okay okay. The service of this place was good. Talking about the food , it was nice. The prices were also reasonable as compared to other cafes on Hudson lane."
64,"Ambiance was really good..food quality was lit but quantity was really really less and yeah, prices are quite high..their chilli potato were yumm and had the best pizza I ever had.. and mocktails were really good too..burger wasn't that good and coriander dimsums were really bad in taste"
65,The ambience and food of this place is amazing.It is a great spot to hang out with friends in gtb nagar. I mainly tried the dessert death by chocolate.It was amazing.The service is good here and the staff listens to you politely.All in all I had a nice experience.
66,The food is great here. There was great seating available. The interior was so beautiful and it was neat and clean. The desert was so mouthwatering. You all should visit there once....!
67,"No regard for customers .........Saif the Singer - you rocked mate ....We will come to other cafe where you will perform but not Mama’s Buoi...DISAPPOINTING UPSETTINGDISRESPECTFUL It’s our right as a customer that we can choose to pay SERVICE TAX OR NOT , but saying that it’s your policy that you have to apply that to the bill is B**** S****No pint wasting money here ...We have lot more good cafes in Hudson lane ...I myself owns a Bar but this kind of behaviour is not acceptable...You guys lost a good client !! "
68,They have a pretty good service as well as good food but my most favourite has been their spring rolls. They had a small space for dancing too and the dj was quite good. Had a good time there.
69,"Amazing ambience. Food is quite delicious! Do order the veg platter, it is droolworthy. Also the Dirty Double Chocolate Shake is awesome. The staff is quite friendly and helpful. "
70,"I ordered Veg Salt & Pepper and it was perfectly Crispy and Tasty!! Then we couldn't resist ordering more which includes Soup, Pizza, Chicken Bucket and Magic Moments!! Everything was Perfect. Also there was a Birthday Party so we got to see Dance Performances!! Music was upbeating! Overall it was a nice experience with a great staff!! Just an issue that the staff members are usually standing near the Bar so its a bit difficult to call them for an order or any other issue given that the music is turned on! So please help in with this issue!"
71,"A small Though classy cafe., Located around 1kms away from GTB nagar metro station.I was there With My friends. Initially we were a little bit disappointed Since their Rooftop was temprorarily closed but our Food & Drinks made Us worth Staying 😀Hope to visit their Rooftop soon.Service was good & friendly staff.Overall :- 4🌟"
72,This is a place to b for any or every occasion.Went there for moms bday . was heart breaking that they were not serving for what we went fordidnt got. the beer what we wanted wasn't thereBut still the food the services the aura of the place litted the eventWay happy must go place .. 
73,"I went for a birthday party.The food we ate had a unique taste,the soothing music and good ambience added to the great taste.The baked cheese nachos were a special dish."
74,Please take a good staf the saf is very bad
75,Thee food served here are out of the world. So tempting tasty and eye soothing. I really love the shakes that Reflection offer. They are so humble I tried Chilli potatoes there and thats too yummyy .Would suggest everyone to visit here and enjoy .Perfect place to hangout with friends.
76,Have heard alot about this place to decided to go their ambience and location is nice!The prices are okayish according to the quantity and taste of the foodTried their red sauce and white sauce pasta both were good!Will surely visit again! 
77,"Loved the interiors and the roof top scene of this cafe with lovely live music playing.Ordered Paneer Tikka, cheese sticks, dahi k kebab in starters m Everything was top notch.Drinks were fantastic. Virgin Sangria was so refreshing.Choco double shake and strawberry shake was on point."
78,"Heard a lot about this place, so I finally decided to try it. Firstly the interiors of the place are not good (its too dark inside ), secondly the staff lacks courtesy. Coming to food , it’s above average, but not better than other competitors. Totally student friendly place, families can avoid it. "
79,So yesterday me and my friend visited this gem place Mama's Buoi. Was highly satisfied with the ambience and the kind of services. The ambience was very fascinating.From the starters menu we ordered:Nachos bhel puri: 5/5Veg platter : 4/5Chilli pizza: 5/5Honey chilli potato : 5/5From the drinks menu we ordered:Dirty double 5/5Mama's sangria 5/5From the deserts menu we ordered:Death by chocolate 5/5 (recommended )So to sum up a very nice experience will definitely visit again.
80,"yesterday i visited Mama's boui. itsa very fabulous experience there. staff was very nice.food was really tasty.1) honey chilli potato- its little extra sweet but tasty.2) Nacho's bhelpuri- Nacho's with bhelpuri. a great combination and tasty3) veg Tandoori platter- its panner tikka, malai panner tikka, soya chaap, seekh kebab, mushrooms.4) chilli pizza- its chilli panner and veggies loaded thin crust pizza.5) Mama's sangria mocktail- its very tasty mocktail nd recommend too"
81,I went to this place with my friends. My experience was not good. The couch we were sitting on was moist & air conditioner drops were falling on us. The food I tried:1- Dirty Double Shake- 2/52- Mama's Signature Pizza - 3.5/5‐--------------------------------------------------------Service - 2.5/5Ambience - 3.5/5
82,A nice place for light evening snacks along with some refreshing drink like Mojito or sodaaa. Ambience is good and service is reasonably fast!!!
83,Mamma's buoi is a great place to hang out with college friends. Th starter dishes are amazing. Especially the drums of heaven thy are crispy and taste delicious. The mocktails are very refreshing and the ambience is nice. The service is also very good and the staff is very polite. They have hookah and and a range of cocktails to pick from. One can easily host birthday parties and other fun activities. It's a brilliant experience.
84,Mamma's buoi is a very fun place in the bustling Hudson place. It's vibe is very energetic and the food is absolutely delicious. The menu is quirky and has some interesting dishes to try like the butter chicken balls. They're really a must try. The starters are great and the best part about the place is their range of mocktails. Every drink is so refreshing especially the laughing melon and signature Sangria. The ambience is awesome and one should definitely go to mamma's buoi to enjoy with their friends after classes.
85,My most favorite place in Gtb nagar this is. Amazing ambience amazing food. Their live music at night is the best part of this place. Totally love it. Their shakes are most tasty in Gtb nagar. Will visit again very soon 
86,"No problems with the food, but the beer options have been Taken down to just 3,probably a supplier syndication but not good for the patrons! Not even breezer is available.We had to move thrice and talk to the Manager two times to get a comfortable ambiance as they were not willing to put the airconditioning on full, Delhi is having much cooler temperatures than peak summers already.The third and the biggest, complaint is they do not remove service charge even when requested to from the bill.Big thumbs down"
87,Mama buoi : woahh what an amazing place . Loved their ambience amazing lightning and atmoshphere inside the ambience . The staff wass polite and humble. Outlet was clean and hygenic as i tried their.1) mushroom2) butter chicken balls3) keema pizza4) drums of heaven5) chicken lollipopOverall great experience . The food was so yum. The service was very fast .. must visit this place.
88,"I went to this place with my friends. For starters I had paneer tikka, veg tandoori platter, butter chicken balls and pizza. For mains I had butter chicken and paneer butter masala. Everything tasted delicious. Staff was welcoming and kind. Loved the place. If you're looking for a cafe for delicious and pocket friendly get together than this place is the one."
89,Mama's buoi is in the busy Lanes of Gtb Nagar. It's on third floor and also has terrace seating available which is one of the best terrace in the town. It's has a very happening ambiance with full of enjoyment dja dn lot more. Veg and non veg both options are available here. It's the perfect place to have fun with friends. Also I would suggest this for birthday parties
90,Ambience is nice.... It is located in hudson lane....The best thing that I found here was oreo shake.... The only thing that was not good was servicing and the waiters... I personally found them rude. 
91,"Service is pathetic and u will kept calling waiters but they won’t listen.If by chance they listen,they will not cater ur request till 5-7reminders.Music n food is good but in the end if no one is there to serve u or fulfill ur service request then it useless.Mama’s Buoi is not so good in service,hence 2stars."
92,The classsic oreo shake was very tasty and it is mouth watering not only it has taste it satifies the soul alsoo the price i a bit high but it is worth the money
93,Ok type place ambience wise. Too much hype turns out to be a small restaurant. Young girls with hookas all around. Too much smoke. Wont recommend families with children. Food was good. The look and feel of restaurant was average.
94,Service is very poor. 5 waiters are standing and staring but no one bothers to come and take the order. Very poor service and they charge 10% service charge even after so bad service. Highly disappointing. 
95,A cafe cum lounge look ambience but the best part is they have open terrace sitting where you can sit and enjoy weather as well. The serve good food with best music. You can enjoy the ambience with tempting food. Worth for money.  
96,I love to visit this place. Food was tasty and yummy. It was great to see such place here.. the staff was very cooperative. Just one suggestion - please do fast deliver your dishes. thank you for your hospitality.
97,"The place contradicts zomato rating. Even the peppy music could not liven the place. Undercooked rice, poor service and unflavored dimsum filling are the highlights."
98,"From arranging tables to bringing food, the service was appalling. The waiting staff was more interested doing group talks. The taste was below averageHoney chilli- 3/5Chicken coriander dimsums - 3/5Chicken stroganoff - 1/5 ( undercooked rice)Garlic rice - 1.5/5 (undercooked rice)"
99,Badly managed bookings and guests. It should be banned. Completely horrible experience. If there is any negative rating I will give them that.
100,"Heard a lot about this place so, on last Thursday visited here, indian folk in the windy night which was perfect to the weather. The food was below avg. Chicken wings  3/5Chicken lasagna 2.5/5Mozzarella Cheese (sticks) 3/5Mama’s Sangaria 4/5Ambience 4.5/5Worth 3.5/5"
101,Polite place to visit enjoy in air have good food enjoy with friends workers are also so kind order on time one of the best in gtb nagar up to date
102,Ambience was great . You can go for the terrace for a romantic dine with your loved ones. Food is good in tastes . The chocolate sundae I loved the most. But there service was alil bit slow. 
103,Being a south delhi girl and going all the way to north delhi was a task but still for food I’ve to travel so I went to mama’s buoi and the ambience was nice they have a roof top and indoor sitting both options are available we choose to sit outside and we ordered all this much which includes:Cheese NachosMix sauce penne pastaLIIT drinkSpring rollChilly patatoChivas shotCorona Just a reminder if You’re not 25 or above don’t visit any cafe in GTB Nagar they won’t serve you. 
104,"Good food , fast service, awesome Deserts and a nice ambiance this place deserve one time visit.Not costly at all it’s totally worth for money but you might face difficulty to have a place because it is full sometimes."
105,"I went this place with my friend. Mama's buoi is one of the best cafe in Hudson lane .I heard about this cafe a lot. The ambience is lovely especially that rooftop area is a ideal spot to sit in winters. it is one of the best place to hangout with friends in University area . We ordered pizza oreo shake ,kitakat shake, sandwich, mojito ..overall food was very good..staff was very cooperative ..they helped us with their menu ..I must say one of the finest place to have good food . I will definitely go again with my friends"
106,Very good food and drinks. Their pizza and mix sauce pasta is a must try. Ambience is also good but their live music is in outdoor where AC doesn’t work much. So book your table wisely. 
107,Food is average. But the service was very pooor and the staff was also very very rude. I did not like the seating also. It was very conjusted. 
108,The place is good to hangout if there’s a celebration. Not a cozy place if you are someone who likes calm cafes more than the loud once with a big screen television which is on all the time. The food variety given is nice. But most of the drinks asked for were put of stock when we visited. Don’t try the “mamas buoi special pizza” it’s tasteless. While the sandwiches are good.
109,High price with worst food in taste.I had there tandoori platter which was so pathetic.They hadn't any variant other than Paneer and Soya only.It's not recommendedable. 
110,"I have heard so much about this place but I would say i was pretty disappointed with the kind of service and the quality of the food they provide.The light was so dim that I had to use my phone flashlight to see the menu. If I have to rate the service I will give 2⭐⭐.I ordered burger, mocktail (Mama's sangria),pizza and Oreo shake.Apart from all this the burger and mocktail was good but for next visit I have to think twice ."
111,The place is overall seems a cool place. The rooftop area is the ideal spot to sit in here in winters. It seems a little compact but it’s not very small to sit in. Food is great. Ambeince- 4/5 Food- 4/5 Service- 4/5?
112,Recently visited this place after hearing a lot about this place. But it turns out the other way round.Music was too loud and lights were too dim. Food was okay okay.The only thing i liked about this place is their rooftop and their walnut sizzling brownie.
113,Ambience was good but i didnt like the food here....my friends nd i ordered white sauce pasta nd verdure pizza..wasted my money nd time...music was so loud i couldnt even heard my friend's voice...
114,"One of the best rooftop restaurants in the Delhi University area. Prompt service, delicious food!Not-so-expensive food, mocktails and cocktails. "
115,"I’ve heard so much about this place,so went there for lunch .I was in for a huge disappointment !The food,the atmosphere,the lights the music everything about this place was wrong !!!The music was so loud,that I could barely hear my friend !The lights were so uncomfortably dim,that I had to use the flashlight from my phone to read the menu!Ordered fruit sangria. Was extra sweet!!Fully loaded veg pizza Was a bit cold,bland and the cheese  tasted a bit old!Had Alfredo pasta:it smelled of boiled mushrooms!!The only two good things were the quick service and the Polite staff... I’m never visiting this place again ."
116,Great place! Loved the food. Had a marvelous time. The service is good. Drinks are refreshing and the ambience is perfect. One of my favorite places in Hudson Lane.
117,"Not a place I would recommend. For me, it's about the food and the drinks first and foremost when I go somewhere. And on that account, Mama's Buoi sucked. Pizza was a bust and the drinks were even more of a disappointment to me. We ordered all three from the mocktails menu, center one was virgin pinacolada, the left hand one was laughing Mary and the right one I don't even remember. The pizza was cold and the tiranga chaap were tasteless.If you're not a foodie, then I'm sure you'll have a nice time because of the mood lighting and the booming music. Oh and the bar too. I don't drink alcohol so can't say anything about it. But sure visit the place for celebrations and events. "
118,i like the ambience over there lil dark..and comfortable seats.. like the variety of food especially pizza it was so tasty and ceaser salad too.food -4/5hospitality-5/5Ambience -5/5I will surely recommend this place to go.
119,One of the better places in university area.Mezze platter is outstanding.Pizza was generally good.My recommendation1. Mezze platter (winner)2. Pizza3. Chilli garlic noodles
120,"Recently visited this place pretty dark ambience with some good music, humble and polite staff,pocket friendly and all on all the nice experience I say. Really going to visit this cafe again soon ."
121,The staff is very rude nd sevice is very slow..food quality is also not good.... bad experience....they can change there attitude nd service....
122,This is pocket friendly place if you are around 3-4 then you don't even spend more then 4k-5k with beer if your friends are not much into food then 4k-5k 😂
123,One of the best to visit if you are out with your Friends in hudson lane. The food is delicious. The service is so quick and the all the staff is sweet and friendly. It is well maintained. They served the dish very nicely. I personally love this cafe. I recommend you to visit once.
124,"After searching for a place with some decent crowd in the GTB nagar market, we selected this place. The ambience is very basic, and looks good. It is pretty dark, so be prepared for not even getting a single good picture. Coming to the food, we ordered ‘Swiss Lindt’ for drinks. And trust me, this is one of the finest chocolate shakes I’ve ever tried. It was perfectly thick, perfectly sweet and looked really cute.For the food, we ordered ‘ tandoori vegetable platter’ which consisted of ‘ 2-3 pieces of mushroom, 4 pieces of paneer( malai and tandoori), 3 pieces of chaap(pudina, Malai, achaari), and kebab’.The platter was tasty, and the quantity was good too for the price...read more"
125,"It is a good place, good ambience, presentation of food was also good. I had Veg kebab here which were very good. Spring rolls- need to improve as they were very oily. Coffee toberlone shake- also need to be improved, this combo was very sweet and I couldn’t figure out the taste of coffee at all. So coffee lovers will be disappointed. "
126,"Visited the place few weeks back with friends to hangout and the place is really good with cool and outstanding ambiance. The food was also delicious and lipsmacking. The staff if supportive as well as calm, they have maintained a good cleanliness and hygiene. overall a good place to hangout, calm down in a casual type environment with your buddies!!!"
127,"Food is good, healthy staff, music was also good, all the setup was great. Spent a great day ❤️ price is lil high as expected and over all if you have budget of 5k then you can go out and enjoy 😊"
128,Had an amazing time at this place and I must say the food is really amazing . The ambience was good and service was good and staff is very polite and courteous.Do try out this place in GTB Nagar!!!Service- 5/5Ambience- 5/5 Food- 5/5
129,"Today I visited this place to celebrate my friend's birthday, this place is simply amazing to spend your good time with friends. Food was very delicious in tasteAmbience was good and the staff was polite and supportive.Must try this place, you'll love it."
130,The best place to hang out with your friends.The ambience is good and the food is outstanding.The service offered is very quick and there is a casual environment with awesome staff.My overall experience was good.
131,Service charge what customer can choose to pay. Cause gst is already applicable. Nd vat also. Then sc is not a thing that they can forcefully imply. But these people doesn't give about the law I guess. So I would hv give zero if there was an option
132,"It was saturday night and i had heard a lot about  this mind blowing  cafe. Being a hotelier i could truly say that it has the best of clientele ie crowd is amazing. Its ambience and the overall decor , theme is just top notch with the live singer made the evening that night.As in the food we ordered1. Melting moments2. Chilli mushrooms3. Fresh spring rolls4. Penne alfredo5. Murg tikkaAnd yes, melting moments ie fried mozrella sticks were very scrumptious as they had a filling and were quite different from other cafes. I really liked the mushrooms and chicken tikka had some delicious flavours.pasta and spring rolls were okayish . Overall it was a perfect evening with good food and...read more"
133,Today i have order pasta and Death by chocolate.Firstly they have put butterscotch icream on brownie.Then we asked them to whts this.they have add vanilla on butterscotch ice cream.Then we asked to change them.N they have bring pathetic Desert.Not recommended.
134,"Ambience is dark like ""use your phone's flashlight to read the menu dark"" And then find a waiter who would take your orders. We ordered crispy fried chicken burger, honey chilli potato and spring rolls. We were told that our choices of beer were not available, not even one on the menu but there was this brand which was not even on the bar menu. Anyway we took our waiter's suggestion and ordered what they had i.e only the ones that were not on the menu. When we were done. Food was ok, not that good as the reviews lead you to feel. At the end they charged us with bottle of water that was never ordered and forced us to order dessert as the payment was already made. It was a bad...read more"
135,This place has made Hudson lane even more popular .. best about the cafe is thier roof top .. though the cafe is quiet expensive in this area .. food is good .. 
136,A good place to chill with friends. If you want to have loud music and party vibes you'll definitely love this place. The service is quite good too. 
137,"The food quality can be Improved a little bit! Ordered a pizza, Cheesy Nachos, pasta and Chocolate Sundae! Except the Dessert I feel Rest wasn't good at all! The quantity was good but The Service was Bit Slow!Could be a much better experience! ☺️👍"
138,"Nice rooftop, good music and tasteful food! Ordered - Chilly Chicken - Spicy but savoury 👍 Virgin Sangria - A really nice mocktail, quite a breeze in this scorching heat. 👍Overall, a peppy place to have lunch/dinner or merely snacks with friends. Would be going again to explore more of it. "
139,"When it comes to bars, never ever forget this place.The terrace sitting area, the soothing music and the lightning.. all makes you enjoy your food even more.Chicken lollypops are too too good. One place in GTB nagar that offers almost all the imported beers. I personally love their chicken 65. Do try!"
140,I had been to many cafe and lounge in hudson lane but mama’s buoi is lit and totally amazing as it’s open (terrace ) live music and dj nights are there food is amazing and best place to celebrate with your buddies and family 
141,"The place has a good vibe and i liked that it wasn't much crowded. Me and my girls had an evening hangout there and we had a good time, the food was fine too, nothing to complain about. The cosmopolitan we ordered were pretty strong, which we can ask them to tone down a bit. "
142,"With the kind of popularity of this outlet , i would say i was pretty disappointed with the kind of service and quality of food they delivered. Sheesha was pretty good but food and beverages were ordinary in taste "
143,One of the finest places to Have nice food over some drinks with your colleagues or friends. I have been there on Sunday when everyone is out there tp chill after a tiring weekend . The place has Such a great ambience when you sit on terrace under sky with some music and chilling out with your people.Service was bit slow as it was full on weekends usually . We ordered some nice mocktails which were way good than some other cafe and snacks were served hot directly from kitchen .We ordered * Cheese Garlic bread  Taste -4/5Quality-Freshly prepared* Mexican Lasagna with veggies.Taste-4/5*Peri-Peri Non veg Fries- Potato fries with fresh chicken crumbs sprinkled with peri peri masala hits...read more
