,TEO - Lounge & Bar
31,"It is a family restaurant- the dineroom. You can go with your family for a nice meal. The music is delightful. And the lounge and bar is on another floor you can enjoy with friends over there. We ordered Virgin Mojito and watermelon Mojito. I liked Virgin Mojito it was really good. In the starters, we tried Honey Chilli Potato, Veg Manchurian Dry (it was yumm) and Chilli Paneer. Liked the Veg Biryani and Dal makhni In maincourse with Butter Naan. And in the dessert Brownie with Vanilla Ice Cream was delicious. The food is really tempting. The food is worth the price. All the necessary precautions are taken to make this a good experience during this pandemic. "
32,"Recently visited this amazing place in Punjabi bagh. Food, ambience, staff, service everything is good in this lounge and bar. Their bar area is so big and beautiful. Tried their different starters and main course, everything was good in terms of quality and quantity. I love their presentation and their dessert. They are taking care of all the safety measures. 💓"
33,"Yesterday I visited Teo Launge and barwiyh my friends, theres ambience is so good so we ordered so many foods like chilli paneer, honey Chilli, chicken Tikka, manchurian, butter chicken, paneer butter masala and mocktails we really loved it"
34,Yesterday I visited TEO with my friend which is located in Punjabi Bagh. it's an amazing and beautiful ambience and sitting facilities very comfortable with friendly staff. Dishes was great i Tried drums of heaven they were juicy and full of flavour and in main course i tried Dal makhani and naan were superb dal was really Creamy and naan bread was soft. And also tried Moctails which was refreshing.Amazing Outlet visit once.
35,"A great day start with delicious food, one of the best lounge for veg and nonveg food.Such a nice and attractive place."
36,"Recent I visited this place with my friends. The       Ambience is really good, place is spacious too.   Dark and beautiful decor with good music. Perfect and awesome place to hangout with friends. The food , as i tried veg manchurian, chilli paneer,  honey chilli potato and few more including drinks which were great in taste .  Service was very great. Staff is friendly and humble. Amazing experience."
37,Teo lounge located in Punjabi Bagh is a cafe cum lounge for family and friends ..Ambience is very good amazing interior.I tried watermelon and kiwi moctail which was goodTried paneer tikka was really deliciousManchurian were very tasty highly recommendTried drum heavens they were okay okayMain course was lit Dal makhani and naan they were really tasty..A must visit place.
38,"Longing to have a biryani party with my friends so went to this outlet to have one. Had Murg dum biriyani and subz biryani.Staff was nice and the ambience was cool.The biryani was hot and fresh. The quantity was good ,tummy filling and 3-4 people can easily eat it. Loved the service and the food.totally worth."
39,"TEO- Lounge and Bar....! Visiting them is always greatful as usually, Amazing food and great customer service provided ever. A very good and nice destination for Friends and family's Dineout, Loved visiting them ❤️"
40,Yesterday i went to this place named teo with my family for dinner. The ambience of this place was great and soothing. The food was also very tasty. The food was cooked properly and was served on time. The crowd there was amazing as well. The place was properly decorated and was nicely lighten up. Loved this place and would surely visit again.
41,"This is one of the places where you can Party and have great delicious food. The menu has so many non veg Delicacies which you can try. I ordered for chicken Tikka kali mirch which was so yummy and tasty. Chicken was juicy. Also tried chilli garlic fish which was outstanding, highly recommended. I would recommend butter chicken pizza which was cheesy and yummy. The cheese was great. Must try. The service was good. "
42,"One of the amazing Bars out there on my list, visiting them never disappoints them! Very fine interior and amazing ambiance overall, Would recommend everyone to do visit and enjoy. Amazing!"
43,"I visited there with my friends and we were 14 member there and we 2 table for us.There ambience is really eye catching and yes DJ wale bhaiya is also too busy to do their work ,so obviously you'll enjoy every beat.Staffs are also gave their best to serve us.I'll count this in my best experience I have ever had."
44,One of the best lounge in club road Punjabi baghBest stuff i try - paneer masala -veg biryani-Moktails_veg ManchurianHighly recommend for all college students for hangout and chillout with buddies
45,"Spacious & comfortable seating area. Very kind staff Food is great, do try their Indian cuisine DJ playlist is awesome So do head to them with your group for some good time 😍"
46,Very helpful staff & serves some lip smacking North Indian main course & for desserts their hot chocolate brownie with icecream is so yummy. This lounge has sufficient lighting as usually lounges feel very dark. And I really like their DJ so do visit 👍 
47,"#Walkin #FoodStop#TEO #TEOMeet #TEOLoungeAndBar after a long time, visited TEO Lounge & Bar,  Punjabi BaghThe atmosphere was Safe and Heigenic during COVID-19, The interior was awesome 👏✊👍 and the helpful and supportive experienced staff, The food was provided in respect of protocol issued by State and Central Government and all guidelines are fulfilled in the outlet, The rating in respect of food, hospitality, staff, ambiance is 5/5, must visit the outlet at a while and enjoy your food#yummydiaries #foodblogger #featureme "
48,Recently visited this happening place in Punjabi bagh. The place and ambiance is so good with music on board. Feels really good sitting and eating food at this place. Good place to hangout
49,"The outlet is famous for north Indian dishes which have different varieties of food.They have bar section also which have different varieties of drinks.We visited this outlet for dinner with my friends and tried fried rice, paneer kadai,mutton korma and tandoori roti which is very tasty and delicious. The food quality and quantity was superb. Service was fast and the staff was we'll behaved. Ambience was polite. Would love to visit again...."
50,This is a nice place to dine in.good vibes and the music is a usp of this place.Food is good a must try.The naan and paneer dish was fab.This is a nice place where one can spend a good and quality time.
51,.
52,"Food is good,  quantity is less,  DJ was good , awesome ambience, service is good,  overall nice experience "
53,A friend took me to this place and i was so impressed with its hospitality as soon as i stepped in. It was so great in making. Seating was comfortable and menu was huge. Food they serve is delicious. I had classic ceasar salad so crunchy and fresh. Nawabi malai soya chaap was good in taste and freshly made and prices were good. Presentation was amazing and place and clean and sanitised.
54,"It was great experience out there.I have just gone out to eat some tasty good and for some excellent ambience environment, so I choose this as it was very good. The staff of restaurant was very polite and helpful and the service was also very good. The refreshments was really awesome and it gives the energy to do more and it makes the place more good by some great music add on by them. The quality of food served by them was also very great and nice 👍. I like it."
55,I went to this place with friends and had a splendid time. Place is nice and  staff was courteous. I had dal makhani and butter chicken . Quantity was huge and presentation was so aweosme.  Food is super delicious and prices are good. Ambience is great and its my fav place now.
56,Had gone out to Punjabi Bagh for dinner with friends.Went to this place named TEO - Lounge and Bar.The interiors of this place are lit.We ordered Subz Biryani for us.Biryani was very delicious.Presentation and the ambience are amazing!
57,"Been to this place recently , amazing place with LIT interior , the staff is quite friendly ,I had Chicken rara with garlic naan , and chicken Biryani , everything was so scrumptious , it's a place one must try "
58,Had dinner with family after a long time and this place was a good choice to dine in.Had an extensive platter of dishes which were relly delicious and made me drool over.Everything was sanitized and all the necessary precautions were taken into consideration.The food served was budget friendly too💸The quantity and the presentation was amazing 🔥The lighting and music was also mood appropriate 🌟A must visit❤️
59,"Beautiful ambience with a wide range of dishes in the menu. The drinks are a must try! Also, they've setup screening facility to keep you entertained. The food was delicious and totally worth the money spent. Do visit✅"
60,Nice. 
61,This is such an happening place to hangout with friends and enjoy the delicious food and service. Do visit this place guys. 
62,"Last week I was here with my friends. They're really amazing, their food presentation was amazing as well as food quality.We tried dal makhni with tandoori roti. It was really so much tasty delicious.Quantity was enough for us.Food was perfectly prepared.Staffs were very helpful about customer.Management was good.Loved it.Do visiting again whenever I get a chance."
63,"TEO- LOUNGE and Bar:-. It's just the perfect place to visit, yesterday I visited here , it was really amazing experience for me . And highly recommended!Wanna know why!Great Ambiance! Mysterious Decoration! Courteous staffs! Nice management!And wonderful representation.We've enjoyed lots of good vibes here , but we most love their dal makhni with tandoori roti combination. It has the real authentic taste.Perfectly prepared and quantity was enough.As we also mentioned some pics here , you guys can see their food presentation.I really loved it.Would definitely love to visit again soon 😍."
64,"Recently visited Teos and had an amazing experience. The Ambience, food, and all the safety measures were taken care of. Tried dal makhani with veg rice and it tasted fresh and good. They have an extensive menu to choose from, and everything is prepared fresh. Pricing is also reasonable as compared to the quality of food!The service was prompt too. shall visit soon again!"
65,The place is really awesome and the people were really polite with the customer. Honestly the place was best in class and I would definitely recommend others to visit this place . It's great for best drinks. Highly appreciated. 
66,I visited this BAR and it's best for drinks - Bacardi - blue moon This place has the best quality of alcohol and honestly I love this place .The will surely recommend my friends to visit this place.
67,We loved the service of this outlet.This restaurant is really decent and good restaurant.My order was here murgh dum biryani and subz biryani.Foods was really tasty and spicy.Biryani was cooked properly and filled with flavors.Highly recommend again visit here.
68,"Visited this place few days back with my friends and it was a great visit.....they had taken a proper care of hygiene and was sanistised time to time.......seating arrangement was good and vibes of the place was nice......we ordered mix veg,dal makhani mic veg and some more items all was too tasty...... presentation was also good.....must visitFood is 10/10Ambience 10/10"
69,a few days ago me my and my family visited in this Teo-Lounge to have family dinner the ambience is so peaceful and have positive vibeThe lounge take all precautions like santizing temperature checking and many moreSo we have ordered Palak Corn and lachha paratha ..the restaurant have so many varieties to eat  The food is great as well and it's under budget. The food is well prepared and it is absolutely delicious .Worth visiting ..
70,best place located in Punjabi Bagh New Delhi master this place launch which was suggested me by one of my friend so I decided to try it outspeaking about the server service was very amazing staff member was very helpful in selecting and suggesting the menu the order food was on time the hygiene was well maintained they do have a sanitizers on a tableSpeaking about them will the ambiance was very good with comfortable setting condition they do have a TV screen for entertainment as well as the background musicSome dishes I order wasStarters mocktailsMalai paneer kofta gravy which was very amazing tasty with good quantity and quality as wellYou must try this place as per meDo tried...read more
71,TEO is a great fine dine restaurant trust me I had ordered one paneer starter and 1 malai kofta from this place and with some rotis trust me and believe me the malai kofta was so good so good so good likeeeeeee  just go and order this you will understand how tasty it was i toh really liked it.
72,"Teo is a really very decent and a good restaurant which is opened for servicing I had ordered 2 Butter Chicken 1 orange juice and 5 naan from this place each and every dish was really good the butter chicken especially  was really very tasty like I just can't say, like I can't describe it in words but yet there was something different about this butter chicken which was being served in this place the naans was also pretty good and decent."
73,"Teo -lounge and bar.Location:-panjabi Bagh, New Delhi.When I was in New Delhi for my clg trip and one of my frnds recommended to visit this outlet which have different varieties of food both veg and non veg.We had tried tandoori prawns, paneer kadhai, hakka noodles, chicken garlic fish and tandoori roti which is very tasty and spicy.The foods are fresh and well cooked.Staff is well behaved and their service was fast.The food presentation was good and every thing is well maintained.I loved the food.Overall great experience..."
74,Are whole family dinner was been planned at this place and everything went really very well I had ordered one butter chicken two naan 1 chicken tikka Chicken Biryani and many more dishes and everything was really very decent tasty and was well balanced I would not say that this place is over pricey but yet it delivered a great service with the great taste.
75,"This has been one of my favourite lounges to chill at ! It was nice to visit it again! Ordered for fettuccine Alfredo & some vegetable lasagne ! Lasagne with tomato cream sauce , fresh basil & mozzarella was super delicious! The Alfredo tossed in olive oil & garlic was full of flavours ! The ambience was very vibrant & lively"
76,"I went there on my friend’s birthday. Ambience is really good to celebrate and party but the quantity of food was really less as compared to price and I personally didn’t liked their chilli potatoes, rest was all good."
77,Recently I visited Leo lounge s bar I tried handii biryani Food taste was so delicious just love it ❤️The ambience is just amazing. All staff members were very friendly in nature..The presentation of food was very good and attractive..Proper sanitisation is maintained regularly..✔️Must visit.. Amazing experience..
78,"It's a great place to party and chill with your friends.The highlight of this place is their ambience that have attractive interiors which brings good vibes.The food was really good and the presentation of food is mesmerising. A must visit place it if you are a party lover n a foodie.Food items from their menu which I had arechicken korma, Murg rara, PAD thai,Fried rice.😊"
79,"No words!! Hats off man.. Its simply awesome. No doubt to say about food -starter, mainmeal and desert they are simply amazing. The best thing which we like is their staff service and their involvement for every need.Coming to food tried their Paneer tikka sunheri and lal mirch ka paneer tikka.Presentation was just perfect.Paneer tikka was simply delicious.Flavour was good and cooked to perfection. In main course tried Paneer Kadhai along with breads.Food quality is perfect like always and i have been to this place like many times and would love to come here again and again and again"
80,I tried the main course dishes from here>>Mix veg- This was the a sabji which consisted alot of vegetables and it was a very tasty dish. It was complementing perfectly with a roti.>>Paneer makhanwala- The gravy was very creamy with the base of onion and tomato. The paneer was soft and nicely blended in the gravy. Try visiting here and experience their amazing ranges of dishes.
81,One of most recommended place for spending time with friends along with delicious food.Even their ambience were quite pleasant with courteous staff.Starting from mojito to bhutte ke kebab.Eveything was simply awesome.Even we tried their chicken drum stick.It was good in taste with garlic sauces on top of it made it more delicious.Overall had a great experience.
82,We loved the service of this outlet. The staff was really courteous and patience. The food was spectacular and we loved their main course dishes. The drinks were amazing too! The ambience was really nice and it made the whole experience much amazing.
83,I have been here with my husband. This is very niche place . I like ambiance and service here. Thanx to jaky give me good service.
84,"Sofa was not at all comfortable , didn't offered the quality service people are wearing mask or gloves while serving, brownie shake is really a mess  . We asked for water but they didn't offered us water for almost 20 mints  "
85,I was really disappointed with the service as it is taking a huge time to deliver food to table and food served without gloves . No hand sanitizer no tissue paper in toilet no soap even . Was really disappointed with it also asked for water almost 10 times but they didn't deliver on time
86,Newly opened place. Management really needs to make sure better crowd inside
87,Teo is really an amazing place with good vibes which is really important. Food and services are really great. I think everyone should at least once visit this restaurant.
88,"Lately West Delhi, the new gastronomic address in the capital has been seeing a lot of new outlets coming up featuring either live grills or serving a mixed menu of all the rich culinary diversity of food from across the globe.  TEO- The Dineroom is one such entrant; a new age restaurant which serves global cuisine, spanning several continents. The menu features a complete treat of mouth watering international cuisines.Located on the busy Club Road, Teo- The Dineroom is a stylish outlet offering no less than fine dining in a setting with great ambiance, luxury vibes and clubbing atmosphere. Even though we arrived quite early in the evening, the moment we entered the restaurant, the...read more"
89,So love the ambience of this place. Beautiful decorated. Well designed interiors. So love it Food was superbly delicious especially the non veg menu. Do visit this place.
90,"This is one of the most happening clubs in Delhi. The atmosphere, the dj, the dance floor! They even have a live dhol wala!!!! Damn amazing place to party.The food though needs work. The mutton seekh kebab were very dry.The malai tikka kebab on the other hand was vvvvv tasty, one of the tastiest I have ever eaten I might say. So soft juicy and tasty malai on top.The food needs consistency in taste, as well as quantity (Although since I paid 50% off but at its actual price it feels a lil heavy)The drinks -Well all of them were bad!The shots--Kamikaze shots- More ice and lemon juice than alcohol. I seriously doubt that was a 60ml pour of anything really.The LIIT -???? Was it even...read more"
91,"Must try this newly opened place in Punjabi Bagh, new delhi. It's perfect place for your friends as well as  family. Must try Mocktail. Service is really great. Portion is good enough. Paneer tikka is the dish I would suggest you to go with if you love paneer. It is a bit on the spicy side but worth it. The vibe is groovy with amazing DJ which adds on to your food. Good place to hangout with friends"
92,I was visiting delhi where i found this lounge with it's top class Ambience. It's perfect get together place be it your friends or family. Must try Mocktail and north indian dishes. Service is really great. Portion is good enough. It is newly opened so go for it and give it a try. The food I tried was:1) Tangdi kebab2) Basmati rice with chicken kormaFor starters it is an amazing dish to try. Chicken Tangdi kebab was so delicious and cooked properly with nice sauce and the melting chicken in mouth it was amazing.After that we tried steamed rice with chicken korma which was stomach filling and was wonderful and had good taste and blend of masala's.The vibe is groovy with good DJ...read more
93,"My friends had visited to Delhi......We were searching for a nice place to sit and enjoy...... On searching on Zomato, we found out this Lit place called TEO - Lounge & Bar, which is based out of Punjabi Bagh......We went to TEO and ordered dishes, Everyday Nachos and Chilli Paneer Dry......food was amazing.....and ambience was lit."
94,"Good food, good quantity, peaceful ambience, delicious food. An ideal place for a large group if you want booze. Serving was quick and very friendly. I would highly recommend the place."
95,love the place and the quality of food
96,"Nice cozy place with good ambience and polite staff, serving delicious and authentic food especially Non veg😋. It serves alcohol beverages as well, also great for hookah lovers. And let me assure you, it'll go easy on your wallet too. Punjabi bagh club road is in itself a place I always prefer to go to over other popular places like Hauz Khas, Saket or CP, as it provides me an escape from busy city life. Deifinelty Teo is a place to visit if you're in Delhi for any amount of time. Cheers!! ✌️"
97,Well visited this place with friends yesterday and no doubt ambiance of this place is super cool specially the dj area it was super good and now comes to food yes they serve good food and service was also good.
98,The food is really satisfying and the ambience as well.They have a  huge dj floor and play really good music. Even the staff is really cool.
99,Teo is one of the best properties situated in punjabi bagh (west Delhi). This place has a fabulous ambience and a great variety of foods and drinks. The vibes here were truly amazing and the staff care for their guests was also very amazing. The pasta and burger from their menu are really tasty do try them.
100,A quality time spend with family. Looking forward to go next time.
101,Amazing ambience and food . Would like to visit again and enjoy.
102,Teo is one of the best places for hangouts around in west.Been recently here with friends loved the vibe of place.I mean awe the quality of food they serve and the music was on point too.Good food + good vibes = Teo
103,Recently I visited Teo punjabi Bagh for the first time with my friends for Pre holi party. The ambience of this place was amazing. Dj was present in centre playing songs for you. If I talk about food I tried paneer tikka & honey chilli potato in starters which was very tasty & yummy. Along with that I ordered watermelon mojito which was up to my expectations. After that I ordered one veg corn pizza along with olives Cheese tomato onion stuffed over it. Service was on time. Overall experience was amazing. its good for dining for west Delhi people.
104,"It's a very nice place to enjoy, have good food and cocktails ....I fully enjoyed the pre-holi event over there."
105,"Super Amazing place to hang around with friends in teo.Loved the food and over all vibe of place.The music was on point, one of best places in west to dine in."
106,"After being told that they will provide a discount of 50%, they denied at the end of the day. Pathetic service, pathetic behaviour. I will not at all recommend this place to anyone. Avoid visiting this place. The manager is very rude."
107,TEO Is the best place in Punjabi Bagh to hang out and I have been here last night and it was really fun and a memorable night I love this place is really very much  They serve  really delicious food and there services are really quick and it was a reasonable placeMy points 10/10
108,"This resturant at punjabi bagh club road is a perfect place for a family gathering ,the ambiance was really nice quite and appropriate for a family outing , i ordered olive chickn tikka and tandoori chicken dimsums paneer tikka and dahi kabab,loved the taste"
109,A good place to hangout with friends! Enjoyable place! ♥️
110,Teo is best place in Punjabi Bagh This place had a great ambience With huge dj floor Yesterday we had amazing fun Will surely come soon again And the staff was to friendly and well trained Best hospitality 😇 good interior
111,"A-one music, food, hukkah, staff, embience, photograohy, without mixing alcohol, soacious etc.. what else you need to party? Highly recommended 😍🥳"
112,"Teo is the party hub where you can explore food, fun, music, and drinks.Their Interiors were too nice and the food tasted really good. Service was prompt.Their drinks and mocktails were excellent.They have a huge variety in drinks.I liked their veg. platter very much.It has everything in it.Their farm fresh piza was Thin crispy crust pizza with lots of cheese and toppings.It tasted really good. Highly recommended"
113,"Teo Lounge & Bar in Punjabi Bagh is the ultimate party destination in Delhi.Visited this place yesterday. Ambiance was nice and the service was also quick.The drinks were so refreshing, i liked their sangria.The cigar rolls were so good. They were so crispy and cheesy.Chilli paneer was soft and was flavorful.Loved the place."
114,This is one of the best lounge in Punjabi bagh. The mocktails are so mesmerizing and fresh. Staff is friendly n services are up to the mark. You can check in with your friends or family as well. Must try their butter chicken n lacha Pranitha. Wil love to visit you again .
115,"The staff was pretty rude and was a Buzzkill, despite the good ambience and food, wouldn't recommend to anyone if they're going with multiple friends.Also please check the bill, the order of discounts caused discrepancy"
116,"One of the best lounge and bar to visit in Delhi.This place has got superb ambience, great music and super cool staff.I ordered loaded nachos, falafel bites and some from the bar/mocktails menu.The nachos were truely loaded with cheese and taste was simply lip smacking.Rating for this place goes as :Ambience - 5/5Food - 5/5Service - 5/5VFM - 4.5/5Overall Rating - 5/5"
117,"Few days back I went to this restaurant. I ordered Thai Crispy spring roll, haryali kebab, kadai chicken (with bone) and many more. Quality of food was fantastic 👌. I never ate such kind of food. Ambience was also sexy. I will come here again with my friends.5 stars from my side 🌟🌟🌟🌟🌟"
118,"teo is a place where you would love to hang out with friends because of the aroma.The food is really fresh and delicious. If you want to party and dance then I must say you would love this place to the core. I really love the butter chicken pizza and non-veg platter.The cherry on the cake is the mocktail which they serve, to be honest, I really love the presentation"
119,"Get ready to be amazed with some awesome music at this place.I really loved the ambiance, well suited lighting and aroma.Talking about the food,Thai Crispy Spring rollHaryali kebabAchari paneer tikkaVeg Manchurian DryPaneer MakhaniFood was delicious, I loved the overall experienceFood: 5/5Ambiance: 5/5Staff: 5/5Overall: 5/5I recommend this place to others."
120,Went to this outlet on a friends recommendation. And it turned out to be a great experience!The place has a great ambience and that clubbing vibes. The place has a spacious dance floor and great DJ !From the menu I had the cigar rolls which were great and the sauce added that tangy flavour to them. The chicken pizza was so flavourful and soft to have. The chilli paneer and chilli potato both were super tasty and well cooked!The drinks were soo refreshing specially their sangria and teo punch were the best of all.Great place n great service.Surely will recommend it further!
121,One of the best places in punjabi bagh to hang out with your friends for good food and a lively DJ.The place is a bit dark but still the ambience is great!The service was quick n promp. We tried many things from their food menu. The best ones were The Non veg platter which include almost everything ! The cigar rolls were crisp n cheesy. The drinks were best of all !! They had that fruity refreshing punch. Loved the place.Will visit again for sure 😊
122,"I visited Teo yesterday and my experience was great.The ambience is amazing, the decor is good. It is very spacious. The food tasted really good.I've attached the pictures of what all I had. I'm definitely recommending you to visit this place for your next outing."
