,The Chatter House
24,"Visited The Chatter House, Nehru Place for dinner last evening.Our extensive order turned out to be a mix of hits and misses.We ordered three starters, Chicken 65, Fish Fingers, and Onion Rings, all of them turned out to be good. The Chicken 65 came with the heads up from our server that it's going to be spicy, guess what, it wasn't!!We ordered a few milkshakes (no pics) , the good ones were the Banana Cream Pie, and Nutty Oreo, the Peanut Butter was okay, the Strawberry Cheesecake and Cherry Berry Vanilla were way too syrupy, sweet and downright disappointing.In the main course, we ordered four dishes.The pizza was absolutely underwhelming. Definitely not ordering one from Chatter...read more"
25,"It's one of the few places in Delhi which has an outdoor seating, wood/gas fired pizza oven instead of an electric one. The fresh dough, gorgeously seasoned pizza sauce, quality topings and generous amount of cheese, they have the option of healthy pizza also, The best part was the service of the server he took the full care of the table very nicely."
26,The best Place in south Delhi where we go last night good food excellence service every thing was perfect light music nice ambience the best place for hange out
27,"I have been to Chatter House 3-4 times, more out of accompanying some people than my personal choice. I find the food to be just average and the food menu doesn't have much variety. Also one night that me, my husband and another couple were there - the music was so loud that we couldn't make conversation. And no one was dancing. We requested the waiter to reduce the volume but he denied the same. Eventually, we had to change our seat. It was an irritating experience with Chatter House."
28,Superb ambienceNice place visit on a weekend
29,Sameer attended us and he was kind and made sure wehad an amazing experience and the food's just wow..#food #review #ambience #love #relax
30,Used to like this place for cocktails and staff. The new manager is absolutely hopeless. The bartender can't make the same cocktails either. Though the person serving us was polite and took care of things. Never going back again.
31,"The Thai green curry was well tasting but less than minimal Veges served in that, a pint (330 ml) is being served as a ‘mug’... verbal description and quantity was misleading as the server described as 500 ml... and suggested that a pitcher with 1500 ml could  be ordered, yet a mug of 330 ml (which literally also was a glass of beer) was definitely not done and expected Staff was of below average caliber. Over all a wasted experience!! Won’t recommend at all."
32,"It's one of the few places in Delhi which has an outdoor wood/gas fired pizza oven instead of an electric one. The fresh dough, gorgeously seasoned pizza sauce, quality toppings and generous amounts of chesse makes their pizzas very special. The base is crunchy like a cracker biscuit and the chesse pulls apart beautifully. They also make a delicious mulled wine, probably the best in Delhi. Pepperoni pizza with mulled wine is a winter staple!"
33,"Not Just the ambience, but the food is really good. Ordered ""The Italian Station and Penne with Vodka"" both were delicious."
34,Loved the taste of food items there in a very classical ambience. Pasta was great and also main course was awesome. Chole in chole bhature should be little more spicy..
35,Loved this place .I tried this delicious Amrood drink ♥️This place has some good taste plus loved the quality.Staff was good.Try this place
36,Amazing place for a evening get together with friends. The ambience here is really good and the staff was courteous. Ordered the mac n shroom pasta and the loaded nachos with a few drinks. The food was outstanding and the quantity was really good.
37,"Quite a nice place with good food, good ambiance, and a good location. I tried pizza and pasta, both were really good. This place also gives you zomato gold offer, so I made good use of it."
38,"We went here for a Christmas Dinner.An absolute pleasure around the backyard seating with a warm dinner served with drinks.We ordered Veg Grilled platter, cocktails with tangy, pineapple like flavors. The staff was very cooperativeHighly recommended.Ambience - 4.5/5Staff - 5/5Food - 4/5"
39,"An absolute amazingg staff, we had our Christmas dinner here. And, the cocktails they served were amazing.The Vegetarian grill platter, is a worth try on. Highly recommended for a good chill out backyard meal vibe."
40,"Went in evening last weekend with my wife. Ambience is good, also huge displays add as it is a sports bar primarily. We ordered half pepperoni and half Margherita pizza as well as Irish cheese cake on staff's recommendation. Staff was curtoeus but the food left a lot to be desired. Both the items were at best a 6/10, not too bad, but not good either. For the top notch price this resturant charges, the food clearly is not that great. Despite zomato gold, we would not like to visit again. Would only recommend if you are a group of friends who want a drink or two while watching a sports game, don't go here for the food."
41,"Pizza - 4/5Dessert - 2/5Ambiance - 3/5Service - 3/5Ordered a veg pizza, it was really good and tasty.Fir desserts ordered Irish coffee cheesecake, it was not up to the mark, it was tasteless.Overall a good experience."
42,"Great ambience, nice place to be. They don't have much offers but they have a huge variety of dishes. Their baked nachos and frappe are amazing must try."
43,Amazing place and the chef brings the best pf the kitchen to your table.
44,"Fabulous food, sammer served us well"
45,"delicious food, Wonderfull place to visit. they have different varities of food.lovely ambiance.Zomato gold make this place pocket friendly too..totally recommend this place"
46,"I decided to visit this place with my office colleagues one day . And the experience was quite goodFood : We ordered loaded nachos mixed sauce pasta , pizza , chicken platter and their famous dessert chatter dome . Not really a fan of mixed sauce pasta . The chicken platter was quite good . But the best of all was the chatter dome . It had white chocolate , kiwis oranges , Alphonso cream and brownie all in one . Amazing !!!Ambience : Ambience is quite nice .Service : Found the service a bit slow . Can definitely improve upon that ."
47,Nice food and ambience. The food presentation was also good.. Must visit with your family and friends.
48,"I went for dinner on a Sunday evening. It wasn’t as crowded as I’d expected, and we easily got a table. We sat on the first floor of the restaurant (second floor considering Khan market setup). The lighting is quite dim and the seating is spaciously done up. We ordered Hummus with Pita and Penne with Vodka. The pasta was in mix sauce, and we’d requested the staff to add vegetables. I really enjoyed the pasta-it was creamy and saucy, just how I like it! I didn’t, however, like the pita. While the hummus was okay, the pita was raw and seemed almost tasteless. For drinks, we had True Spritz. It’s a sparkling wine and gin based drink, with orange slices and basil leaves. The drink...read more"
49,"I happen to visit this superb place with my friends this evening!This place is just below the Nehru place metro station 🚅The ambiance was just amazing! 🤩It has both indoor and outdoor seating area.The indoor area has 2 LED TVs, one with playing music 🎶 and other live cricket match 🏏It also offers a soccer table game for the entertainment of guests ⚽The outdoor is a lush green spacious seating with a waterfall ⛲We ordered penne mix sauce pasta 🍝 - Rs.440/- 💰It was served with garlic breads 🍞 and was delicious in taste 😘We ordered Italian station pizza 🍕 - Rs.490/- 💰It was crispy and satiated my taste buds 💕We ordered dahi ke kebab 🍢 -...read more"
50,"What a dinner I had last night with my husband, as soon as I enter the i get mesmerize with interior, food and drinks were great, I love the outside area. Manager was very helpful, Bijender is a great host. Love to come back."
51,"Had gone here for my birthday and it was the perfect choice, the food was amazing, specifically the galouti kebabs and the dessert. Their outdoor seating is great for winters. 🌻"
52,"Good place to sit and relax with your friends. When I went there, I got a good offer (5 pint of kotsberg). Onions rings were really good. I am not happy with their quantity, quality is undoubtedly good. "
53,"Chatter house is a beautiful restaurant and bar located on the ground level of epicurea, i was looking forward to visiting it since a long time and finally when i did, i was very satisfied. Good cocktail offers were running so we got to try a variety of them.Started with limoncello from their summer fling menu and found it very dilute, sent it back and gotnit corrected. Salty chihuahua was a good try though, not many flavours but distinctly strong. Godfather was usual and strong. They made us try bubblegum shots which are yet to be launched and I really admired this fusion.Tried three kinds of LIIT; classic, electric and coffee. The coffee one was superb, real spiked yet flavoursome to...read more"
54,"A fancy place to dine in. They served the best cheesecake i have ever tasted, Irish coffee cheesecake, it melts in your mouth😍❤️. Their pasta was amazing. When compared quantity and price, it seems the items were a bit overpriced but still worth it. You can play at their foosball table until your food arrives. You must give this place a visit."
55,"A British Themed pub giving a fine dining experience is the jist of every visit to Chatter House. They never fail in giving one a delightful experience.Been to this place a few times and the food is always awesome, with the staff being to their courteous best.Nice place to spend an evening."
56,"I went to this place and had an amazing time, staff was very courteous, this place is good to hang out with friends and spend time with your family, price of food is reasonable, quantity of food is fine, they have some indoor gamesI orderedBlue Cheese Naan : 3 naans served with 3 shots of dal makhni with green chutney and onion, the presentation was lit, the taste was also goodVeg Herb Marinated Vegetarian Pizza : It was so delicious and so cheesyIndie Cola Mocktail : it was very refreshing"
57,"Nice place to hang out. Hard to get a seat before 8pm due to happy hours. Waiters are super busy and talk amongst themselves more than the customers. I had to stand and wave thrice to get their attention. Ambience would have be very good if the music was kept a notch down. The loudness makes you shout to be heard across the table.Food is tasty. Most of the drinks in the Menu are not available, leaving you with very little choice. Overall a decent place to hang out"
58,Great food!! Must try there amritsari kulcha & cholly..Also there veg platters were amazing!! Thanks team for being cooperative 😇
59,"I had visited chatter house of Khan market and my experience was so so amazing, I loved it to every bit.But at this one I don't know why the staff seemed really disinterested. Though the food was good, but the service was a little disappointed. "
60,Chicken lovers platters is pathetic and way expensive (not worth)Not good 👎🏻
61,"The restaurant has a Classic British Pub theme. The ambience here is definitely splendid. Staff were courteous. I ordered burger and pasta. The mocktails were mouth watering.Overall experience was awesome, worth visiting."
62,The staffs needs to move their asses fast. They are slow with their services. You need to repeatedly call them to take the order and then wait for atleast an hour to get your order served. Though the beer/wine and food might be fine but the slow service will just spoil your mood there.
63,This is my first visit at The chatter house nehru place. Nice ambiance and lovely food. Excellent service. But beer beers are too expensive hare. Overall experience is good will visit again.
64,Okish place music was really loudWe ordered pizza and pasta.The food was good bt service was little slow
65,"As I am a big fan of good,tasty and healthy food I was looking for a perfect place to satisfy my taste buds. So I visited chatter house as I had read positive reviews .One of the finest dining option in the city. I found chatter house as a perfect place .The staff is generous and their manager is always at your help. As per the suggestion I tried Pav Bhaji and a shake and I was happy with the decision .The food was delicious and not too oily and spicy. Food with perfect mixture of taste and healthyness."
66,This place serves good food with beautiful presentation. I went here for the borthday party of one of my friend and all of us had a really good time here.
67,Service was to slow but food was so tasty just kindly work on fast service.....also add more beers.....Wish to go again and checkout more foods
68,"Well, Chatter house has never disappointed me when it comes to their delicious prawns. This time the experience was taken a notch higher with the out of the world chicken tikka and the main course meals. Had a great time with my better half giving it a fine touch to the hectic week. Thanks Guys..! You are awesome!"
69,"It was my birthday and i actually sat down and researched so much for a good restaurant and found chatter house to have a really good rating. I absolutely loved the ambience and was expecting the food to be super good.But as we ordered stuff, the milkshakes, kabab platter and thai curry it wasn’t up to the mark at all. I was really disappointed by the food it had no taste the shakes were too sweet. "
70,"Happy hours to cheat customers ! Chatter house disappointed me because they mixed all the happy hour shots with water ....When we confronted them they were slymy about it instead of making up for it. #Cheating customers #Drinks shot of my sangria , the vodka shots were diluted too"
71,"Nice ambiance and The food was extremely delicious we orderd tomato basil soup , charred chicken,bhuna gosht platter it was amazing food.Staff are well behaved especially mr.Sandeep very helpful and well mannered.Thanks Sandeep we come back soon.Overall"
72,Excellent service by Gaurav Singh . 
73,"Who doesn't like a place with good drinks and great music. We had ordered blue cheese naan which was amazing, dal makhni shots was something i saw for the first time. And LIIT is legit there."
74,"Over all good and convenient place to go . Went there with my college friends as we do monthly reunion. Food is average , some dishes like Tandoori chicken were chewy and not worth . Non veg platter was good but veg platter was not that great . Visit again - May be as place is in mid of city and approach is good "
75,The food was awesome . I did not want to waste a single second so ate it up couldn't put the pics .The brauthwarust souces and pizza were amazing.I suggest this place to everyone who loves italian
76,Wow I visit last weekend The chatter house Nehru place is amazing place in delhiAmbiance was attractiveFood was very delicious😋✨Staff was politeMusic was also goodOverall perfectWe visit come back soon
77,I visit first time in a lunch the chatter house nehru place Delhi near by Nehru place metro station the Chatter house one of the best place in Delhi.Staff was polite well educated and we'll dressedThanks mr. Sandeep who take care my table.Food and drinks was awesomeOverallFood 5/4Drink 5/5Ambiance 5/5Service 5/5
78,Awesome place to have good food .I went with my friends on last Sunday we ordered some of the items which tasted very well.we also order some of cocktail it was also tasted very well.the service staff was also good with us.We come back again
79,"Yesterday me and my friends went to Nehru place, where we went to the chatter house first time on one of my friend recommendation and believe me it was a wise decision. The interior made me mesmerize as soon as I enter the restaurant, it was not that busy that time staff was friendly and nice, what I like about staff is, they are not doing like other places where they continue staring at people.Let's talk to food we had pizza, pasta and Dal makhni shor with blue cheese naan that was amazing. We loved the food.Drinks, as we need to go some after this place we only had couple of cocktail and shake. From the glassware, presentation, garnish, taste and service it was perfect. Very few...read more"
80,"Usually a chill vibe, this experience was not different either. Good options on the beers and that's what keeps us coming back. Would just recommend to chill the beers a bit better specially in this humid weather."
81,"My real experience for this restaurant was amazing , superb place to hangout . And if I talk about service/server , that was upto the mark , polite , well groomed, and thanks to bijender that he was serving us on that day, and we hope next time u will serve us again and Sure we are coming soon again with my friend . Overall my experience was good . chatter house thanks for welcoming us , hope things will be the same next time . Everybody should visit this place . Amazing gugs , amazing service ."
82,"The experience in entirety was amazing. Staff is verycourteous, food is very tasty. If you like experimenting, this is a place to be."
83,A place to go for amazing cocktails 
84,"Where to start, what a vibes I got when I entered in the restaurant, old classics English British pub theme.Let's start with drinks, we had Beach Liit , tiki cocktails it was amazing in the taste as well as in the look.Food we ordered some pasta and pizza amazing flavors .Service was nice, food and drink was on time. Server was Bijender, he is nice jolly person.Foosball table, I played 1st time, it was a great experience. "
85,One of my favorite restaurant at Nehru place where I come twoice in a week. Nice Ambience I love the food and service as wellKeep it up guys👍
86,"Visited this place today with friends between 3.30 -7.30, so you can set the mood for how busy the place can be. My first time here and the place seemed decent, the food was again good enough-no complaint’s here.The biggest issue is the staff, which they must do something about to avoid unhappy customers who never come back and in fact spread the same word around.1. To begin with, we really had to struggle with staff attention(inspite there were only few tables occupied, staff was busy chit chatting than leveraging this opportunity to be extra attentive and ensuring happy customers).2. Internet connectivity is a big issue here , well due to the location but I think in today’s...read more"
87,"It was my birthday when we went there to party at that place..It's a very beautiful place.. can't say about ambience as we had taken the outdoor seating.. The outside seating was good became more good when they turned on the cooler when we asked.The food we ordered was some chicken pizza,Risotto, Pasta with vodka on top and chicken satay the food was just yumm!! I'm a fan of italian and ys the food was just too yum!!And the staff were (Bijender)sweet and soft spoken too..i really enjoyed this place..I would deffinitly Want to go and try some other stuff for sure.. "
88,The chatter house located in nehru place an amazing place to hangout with your friends and family serving mostly avery delicacy.Food 5/5Ambiance 5/5Service 5/5
89,"It's was nice surprise to been in The Chatter house, I did not expect the garden area there. Tried couple of things with my friends, amazing food and drinks, A class service given by our server Bijender. Must visit place, they have nice bar menu with some forgotten and tiki cocktail, fusion food menu."
90,"I've been to chatter house after three and a half years. Everything was as same as it used to be (ambience,music) except their menu and servers, but then I found Anup great to see him so he helped us out to find some dishes as AOP with chicken breast! and pepperoni pizza!Sugg:- bring back corn,spinach kebab."
91,"What a great new discovery!  I almost hesitated in writing this good review since I wanted to keep it a secret, and I don't want it to get too popular (or crowded).  I decided on giving the nice review because - They really deserve it!   Great ambiance, great service and great food.  The prices were great too.  I can't wait to go back!"
92,"Nice place to chill out with friends, love the outside smoking zone with lots of greenery. Nice continental food, we ordered chicken satay with grilled vegetables,penne with vodka and grilled chicken aglio olio herb marinated pizza and some tiki cocktails. Love the drinks and food. Staff was really friendly. One things guys they didn't club zomato with any other offer. But overall it was great experience, we would love to come back."
93,The ambiance is quite nice and a lovely place to spend sometime together..... Had there penne vodka and charred chicken both the dishes were amazing and there service is really really nice 5/5 special thanks for SandeepI would highly recommend this place to others....
94,Be there for best service for the food you can enjoy with a dessert mouth melting volcano thanks lady usha and manager ..... go and have a experience 
95,The experience wasnt good and we had to leave this place due to rigid behavior of the manager and staff. Food was okay but ac cooling here is below average. 
96,"The ambience was good but their service was very slow and the staff was not so impressive. However, the food was delicious and we enjoyed the dishes.We loved their pasta and the guava drink.AMBIENCE-4/5FOOD-4/5STAFF-3/5SERVICE -3/5"
97,"I had a great day with my besties in chatter house,so friendly staff and take care you in suggesting the best things...So good place to hangout...Looking forward to come again..."
98,Great service and we'll trained staff....... Food is your amazing specially I loved beetroot kebab and lit are great cocktails..i loved xxitt
99,"Worst experience. Bad food, bad service."
100,"Polite, and good food. Try the dish which is macroni inside a wrap with delicious sauce......you will love the place, good Ambience. Try them ..."
101,"I visited Chatter house with my friends for lunch and was really amazed by the visit. It is located in Epicuria ,Nehru place and it offers wide range of dishes and drinks.What we ordered-1) Butter chicken spring rolls - These were crispy and mouth watering. Really loved the taste2) Focaccia Pav Bhaji - It was something unique yet tasty. Highly recommended!3) Fish and Chips - For all the fish lovers,this is a must try! It was served with chips and dips4) In the mains ,we ordered Dal Makhni ,Kadhai Paneer and butter naan. Dal Makhni was the highlight of the visit! Really loved the taste.Overall ,it was a great visit. Quality and quantity of food is amazing. Staff is cooperative and...read more"
102,"Chatter House has been one of my favorite Places specially When it Comes to Hanging Around With Friends.This Time We visited the one located in Epicuria, Nehru Place. Here we Ordered ourselves Some Starters which included half and half Pizza Having Pepperoni and Farm Fresh Topping, Strawberry and Chocolate Shake, Soft Sangria, focaccia Pav Bhaji and Matcha Green Tea Cake for Dessert. Loved every Bit of My Experience here 😁"
103,"Yesterday I went to chatter house , Nehru place with one of my school to spend some good time. It is located in epicuria food mall , below nehru place metro station.In drinks I tried their freak shakes. I ordered two of them one is nutty oreo and other one which I ordered was strawberry cheesecake. Both the shakes were thick and sugar was balanced and the best part is the presentation was very beautiful.In starter's I ordered butter chicken spring rolls , fish n chips and focaccia pav bhaji. The filling in the spring roll was very nice and tastes amazing gravy and mint dip. The fish was very soft and tastewise was also good. The pav bhaji little disappointed me because bhaji was not...read more"
104,"The chatter house was in my bucket list from quite a long time so decided to try it out , I was with 2 of my friends , first of all they have indoor as well as outdoor seating availabile , I decided to sit outdoor and their service was really prompt and their staff was really courteous.I tried a lot of things here but their coffee mojito , baked nachos , dal makhni shots , dum aloo and matcha tiramisu.Overall this place is perfect to hangout with friends and I'll definitely revisit them ."
105,Last Sunday I was in Nehru Place for a Movie with my Friends and after were done with the movie we decided to hog on a yummy meal so we landed up in The Chatter House which is located in Epicuria Food Court. This place has some nicely done ambience which gives a classy look! All the wooden interior has an eye catching charm in itself.We Decided to sit in the courtyard as the weather was pretty good and we were well catered by the staff in the outdoors.The Management here is well trained and has adequate knowledge about the Menu and the dishes in their menu. We were guided and recommended in some dishes as surprisingly they turned pretty good.Coming over to the food you should...read more
106,"Date with bae on Monday at this lively place....food, drinks and ambience perfectly served and placed....a nice wooden interiors provides perfect time to be chatter box specially when you are with bae....food was delicious and temptingMust order items:-Loaded NachosChardonnay and mushroom fettucciniFrog bullMushroom Galouti served with Dal Makhni and Butter NaanGooey Chocolate cake (must have for a complete meal)Myra Amit Bajaj "
107,"Went to this amazing place for lunch last weekend. The place is decent with ambience. I really loved the blue cheese naanwitu dal makhani shots , rajma Chawal arancini and butter chicken pizza. Pizza was very cheesy and delicious. And the dal makhani shots were so flavoursome served with mini cheese naan. In desserts Gooey Chocolate Cake with coffee ice-cream and Coffee Cheesecake was pure love. "
108,"The food alone is enough to make it worth your while. Their galouti kebab was the one the best I ever had. The ambience is nice, like a retro, high-end diner in the West. The varnished wood and glass finish and the spacious interiors make you relax and enjoy the delicious food.I am definitely going back there to try out other dishes!"
109,"Last week I visited this place and tried few things from the menu and I kinda really liked it. The Lucknowi kebabs with roti were so good , kebabs were very soft , tender and scrumptious. And the blue cheese naan full of flavours , Naans stuffed with blue cheese served with pineapple chutney and cute little dal makhani shots. Also you can’t miss desserts here , walnut brownie with ice-cream and Irish Coffee Cheesecake , both were so delicious and delightful. Couldn’t resist myself from ordering one more. "
110,"I went to this place because i had heard a lot about their delicious food and they do serve Amazing food.I tried-Butter chicken spring rolls- its one of its kind. So delicious and lip smacking!! Spring rolls stuffed with minced and marinated chicken and serbed with butter chicken gravy as a dip. MUST TRY!Chicken chorize croquettes- These were too good to be true😂 they too tasted amazingHerb marinated pizza- nice crispy base pizza with good amount of cheese and toppings of mushrooms, olives, zucchini, etc.Brownie with ice cream- walnut brownie with ice cream is a classic so i tried this simple one.Strawberry cheesecake milkshake- this was just amazing. Presentation wise also...read more"
111,"This place, located in the lower ground floor of Epicuria, has been on my list for a long time. The ambience is kind of vintage but cool. The staff was really helpful. I tried Butter Chicken Spring Rolls, Baked Nachos, Blue Cheese Naan and Herb Marinated Veg Pizza with Coffee Mojito & Matcha Green Tea Tiramisu. Spring Rolls were crisp from outside and filled with chicken and having that with their butter chicken gravy was just amazing. Blue cheese naan came with Dal Makhani shots and I really liked dal makhani more than naan. Veg Pizza was bit disappointing. Coffee Mojito was my favourite drink from their menu. I even ordered that twice for myself. Then came the best part of the meal -...read more"
112,"Another awesome place in Epicuria is Chatter House. I heard a lot about this place, finally visited there last Saturday along with my bestie.. Pretty cool ambiance, they have indoor and outdoor seating as well. As the weather was so cool, and it was drizzling that day, we both wanted to enjoy our meal with cool breeze, so we decided to sit outside. The staff is really very courteous. Now let's talk about what we had, we tried Nutty Oreo Shake, Soft Sangria,Coffee Mojito, Dal Makhani Shots, Baked Nachos, Butter Chicken Spring Rolls and Herb Marinated Vegetarian Pizza.Dal Makhani Shots were fabulous, though the cheese naan were pretty average but Dal Makhani was so amazing. Me and my...read more"
113,"Chatter house is a perfect place for chatting and enjoying sumptuous meal with friend and family. With English style naked brick walls the eatery or cafe serves Indian, Italian, Pan Asian dishes which are done to perfection for the Indian Palate. The menu consists of soups, salad, anti pasta, Pizza , Indian , American and ,Thai/ Chinese food. I Started my meal with Chicken soup followed by Orange and Almond salad which was just Yumm. Then tried the pepporoni pizza and the lamb burger which again we're amazing. Mains opted for the chicken tikka platter and the thai Red curry platter , the chicken tikka platter came with a portion of the dal to and with the breads just devoured it...read more"
114,"We visited Chatter House - Nehru Place through Zomato's infinity dining. Overall experience was just beyond amazing. We tried a mix of their North Indian and Mexican cuisines. Must try dishes and highly recommended ones are their Blue Cheese Naan withDal Makhani, Pindi Chhole with Kulcha and Mezze Platter.Really nice place for some awesome food, nice presentation and great hospitality.Special mention for Usha for an amazing treatment and on-time service. Next time you visit the place, you know the name to ask for."
115,"The cafe is a perfect place to relax and unwind with friends and family while feasting over yummy delicacies. Bar at the place also offers gd cocktail and mocktail options along with traditional drinks. The ambiance has been done like a Scottish English eatery with brick walls and dim lighting. The food menu serves fresh salads, soups, Indiana and italian appetizers and main course. The food is quite delicious and 5he service spot on. Tried the tomato soup and chicken soup which was great, followed by orange salad with almonds which again with fresh greens and perfect dressing was perfect. Opted for sea food platter consisting of fried calamari, fish tikka and prawns which again was well...read more"
116,The staff was very rude. We ordered the chhole platter. They did not give the full items mentioned in the menu. The taste was bland. When we asked for it to fix they did not do so. The waiter were super rude. Took 20mins to get the bill. Extremely unsatisfied with the services.
117,Amazing service. Guy name Bijender was really cooperative. really relished by the presentation and blend of flavours in the food. butter Chicken pizza is must.
118,"Ambience - 9/10Vibe and staff attitude - 10/10Service speed - 8/10Hygiene - 10/10Food presentation - 10/10Food detailsOrdered:CHEESE AND MEAT PLATTER- It's one of most unique platters i have ever had. Had some roasted almonds, dry fruits, seasonal fruits like pineapple, salami, sausages served with cheese. 8/10POLLO PESTO PIZZA- pork quality seemed fine.. taste could have been a little better 7/10GREEN SAUCE PASTA (BASIL) something different from our regular red white n oink sauce pastass. Worth trying. 9/10BUFF BALLS- delicious 10/10drinksNUTTY OREO quite good 10/10INDE E COLA - tasted very much like jaljeera 9/10APPLE ICED TEA- tasted same as appy and I'm not fond of...read more"
119,"Chatter House, one of the best place in Nehru place. I went there last weekend with my family and we enjoyed a lot. We ordered Herb Vegetarian pizza, butter chicken pizza and non veg platter. Food was really delicious. Service was also good and staff was courteous. In shakes, we tried Nutty shake and it was thick and amazing in taste."
120,"i visited this outlet a few days back and no doubt it was just perfect. the one thing i loved there most was their fast service. apart from that ,the food was also satisfactory.I had butter chicken pizza , it was soo good.i loved their thin crust. keema pao bhaji is a must try there. perfectly spiced and lemon touch. Also tried their loaded cheesy fries , they were not so good.shakes and mocktails are amazing. loved them.sure , the place is quite expensive but overall provides one great experience."
121,"Went for lunch at Chatter House with my friends and i liked how the whole cafe is designed, having artworks of various classic rock music artists.From the menu we ordered loaded cheesy fries and falafel burger, both of which were delicious and mouthwatering.for drinks we got ourselves Oreo shake and mint iced tea and they made the whole experience better because of their tangy flavor.furthermore we ordered Pollo Pesto Pizza and Basil Pesto Pasta and both were amazing to have and highly recommended to everyone who loves Italian cuisine."
122,"I recently visited this place with my friends for lunch. The ambiance of this place is just amazing and the food they serve is totally delicious.We tried :-*Drinks> Nutty Oreo shake> Strawberry cheese cake shake> Butter chicken Pizza - Best pizza, I have ever had 😍😍> Loaded cheesy fries> Murgh tikka masala platter - It includes Murgh tikka and dal makhani served with lachha parantha 😍😍> Butter chicken Platter> Chocolate Volcano served with chocochip ice cream was damm amazing 😍😍Will definitely visit this place again for sure 😍😃"
