,Antidot Waterbar Cafe
66,"We were three friends, had ordered chicken biryani, peanut masala, beer & chicken bao. First things first,The ambience is lovely, we loved it on the roof! It was lovely, pleasant and amazing. The staff is courteous, everyone was following safety norms! Chicken Biryani - The love of every north indian! The biryani was very flavourful, had 4 pieces in a portion and was enough for 2 people! The rice was cooked nicely, masala was there in every bite! 4.5/5 - My Rating (as there’s always a scope for improvement). Chicken Bao - This was a dish that i wanted to try, as there are pretty few restaurants in the city where we’d get good ones, they surprised us with great presentation...read more"
67,Very nice and hygienic food very nice service provided a good discount and staff was very Friendly & respectfull nice ambience nice place to chill 
68,One of the amazing please to enjoy if u like open seating places but the service is a bit slow and did not allow us to pay through Zomato gold even when it was showing open..so do check before they confuse you..good quality of food 
69,"1st they take hours to sanitize the table then also gimmick to do so by just roaming with a broken machine, then they take ages to bring the order after all the headache then they tell you though they appear on Zomato dining but they will bill you originally in the 1st place so they can bill you on the higher front.Big time disappointment never visiting this place again none was worth it."
70,I just love the ambience of this place and the food too!Must visit!Food-5/5Service-5/5Ambience-5/5
71,Rooftops is beautiful ❤ And love to visit there 
72,Amazing Ambience.Food tastes amazing.Plating is too good.Tandoori platter is so flavourful.Different varieties of bao to try.
73,"This place is soooo beautiful and the ambience is just WOW. I have been there on my birthday and the experience was so good and all my friends liked the place. Now comes to food, the food was really good and the way it was presented was so nice. I got some really good clicks as you can see . It's a must visit place my recommendations💯❤"
74,The place is definitely amazing one to hang out with. They have very tasty cigar  rolls and it's Definitely a must  recommendations for cocktails
75,This place has great ambience and is perfect for daytime dates! Food tasted as good as it looked though quantity was less for the price charged. All in all a great experience.
76,"This place has a great ambience especially the rooftop with live artists performing when I went there. Cocktails are to die for, if you're a cocktail person. Really really good cocktails with a great variety. I tried out almost all of them. Food is good too.Staff- 5/5Food- 5/5Ambience-5/5Quantity-4/5Worth visiting this place"
77,A good place with very nice view n ambiance  to satisfy your all the Italian food cravings  😋😋😋 I just love the quality n quantity both♥️
78,Amazing band and rooftob ambi♥️♥️
79,Amazing food and ambience.Really great for birthdays.
80,"The place has a great big rooftop with good view and I think that's the USP for this place in the area around Safdarjung, live music and outside setting make it a choice for a visit, but surely restaurant needs a little improvement in food as we couldn't find butter chicken or pizza good and so does the desserts, but still, worth to visit"
81,"Decent place in safdarjung area with good food menu. We tried classic tomato soup, tomato and basil bruschetta, paneer tikka sampler and dahi ke kebab sticks. Food was yummy. Staff was courteous. We wanted to sit on rooftop but it was full because it was winters and a sunny day. The place was giving a dingy vibe due to the color of walls. But overall a decent place to visit."
82,"When we first sat down, one of us had our water bottle with her due to the coronavirus scare. We were directly told by the server that we cannot keep that with us and it would be given back to us when we leave. We tried to explain that it's just water and we are carrying it because it's hoe boiled water. But he insisted that he cannot allow us to keep our water and we have to drink the restaurant water. We had a good 5 min fight with those guys after which we were allowed to keep the water. Then when we ordered we ordered a few drinks, one of them was a rose sangria berry. When the drinks came, it was clearly a white wine sangria which we asked the server that we had asked for a rose...read more"
83,Visit only if you get to sit on the terrace. Amazing ambience and great service. The food wasn’t that great and because of the cold weather it was getting cold again and again even though the servers had heated the food again for us. Won’t recommend pizza . Go for small plates since they were good. The chicken tikkas were amazing and so were the cocktails . We tried the paan cocktail and the ice ball cocktail both were amazing
84,"Our server mr. Vibhu was very attentive and soft spoken. Do ask for him for a good service. The ambience was nice, there was live music and we got our table at a good spot. A evening well spent with friends"
85,Roshan was very nice in terms of serving.. Nice ambience
86,"Great rooftop place with water bar on side. Perfect place for spending quality time without any hustle bustle along with good food.The food menu is vast and so many dishes to choose from. Smoked Mushroom Galauti was really nice. Perfect spice and good quantity. Chicken sliders was so delicious that we are coming back just for that.Since I visited in winters, I ordered Hot Toddy in drinks. Man that was amazing and such a relief in cold weather."
87,Great service by Rana
88,"Sahil was a wonderful server! Had a great time, would recommend everyone to go here! :)"
89,Loved the rooftop ambience! The drinks are worth the money. Special shout out to the server here Vinay! Ask Vinay for some awesome LIIT experience
90,Great service by vikas
91,A good service by nice Staff Mr. Vikas.. really love to come again.
92,"It is certainly the place you would want to visit once if you are around Safdurjung, we were seated at rooftop and view & ambiance was good. Live music arrangement was also there...place is not very spacious and can accommodate few guest at rooftop. Main restaurant inside was empty as i believe due to weather everyone wanted outside seat.. food was good, we ordered mains and were not disappointed. Beer selection was limited and have to zero down on whats available (i hate kingfishers) ..  overall good, nothing spectacular, once a visit kinda"
93,"Heard about this place from a colleague and about their Butter Chicken. Being a hardcore butter chicken lover, I couldn't stop myself from trying it atleast once. So it is in Safdarjung Enclave. A nice looking property spacious seating. I straightaway ordered Butter Chicken with 2 butter naans.So they had this unique flavours probably because in their menu it was written Chicken Makhani. So the gravy was not the genuine one yet very tasty. Even though it was not what I was expecting, I got something great to taste. The pieces were succulent. Loved it!"
94,"Antidot is a cool hangout place with beautiful artsy interior. The food and drinks were great and well presented and tasted good. However there is scope for improved service as we had to wait for a while, to get the order. "
95,Sahil is very polite and sweet who serve us
96,The ambience was amazing. Vikas was very helpful with his service.
97,Food was amazing! You must try kali mirch chicken roll and penne alfredo pasta is must.🥰❤
98,Nice ambience. Ankit was really nice and helpful in making our experience worth
99,"Great place, Ankit was a great help! Cheers!"
100,"Beautiful ambience and great service..specially by Ankit Chauhan. Great service , courteous and polite fellow."
101,"Had a great time at this cafe.. It's gorgeous, a pretty rooftop place to sit and chill with ur friends.. Wait staff ankit chauhan was pretty helpful and suggested best of food.. Loved it"
102,Very nice ambience. Food was amazing. Our server Vikas was very polite and took into consideration all our requests.
103,Service was very quick especially Vinay
104,Needs little improvement in food.. Ambience is good views are amazing
105,Great service by mr. ankit chauhan
106,"Service is good, staff ankit is amazing"
107,The food was very good And the pasta mac n cheese was really amazing the guy Ankit chauhas was very nice nd humble
108,Vikas Served Us Very Nicely Very Humble Guy
109,Senior vikas was very helpful
110,The food and ambience is very amazing. The service also is very timely especially Mr. Ankit was very courteous throughout. Had a very good experience! Must visit😊
111,Nice ambience and ankit was very good server food is very tasty😋😋
112,Amazing food with a beautiful ambience.Good Service by Vinay.
113,"The pizza and pasta were too good and so delicious, loved them. Loved the ambience and the cocktails. The chocolate one wasn’t too good though. The rosé cocktail was good, not like the pictures but it was good."
114,Sundar Kashyap good service
115,A really nice place to sit and enjoy the sun! The ambience was really good with courteous staff! The staf was really friendly! The place was clean. And the quality of food was good and tasty. I ordered dimsums adn pizza. And pizza was costumised as fer our needs! An amazing place to visit with family and friends!
116,Food is really tasty... ambience is really awesome....Ankit staff over there is very humble😊
117,Amazing time and great service by mr. Ankit chauhan
118,I really liked this place. Ankit was really helpful at our serving. Loved the food. Would really recommend tHis place
119,"Thank you for an amazing time! And great service by Mr, Ankit Chauhan,  it's very good guy"
120,"Great Service by Ankit, amazing view,"
121,"Loved the ambience! Do ask for service by Ankit, they treat you perfectly! A must visit!"
122,Ankit
123,Very good service by ankit
124,Very good service by the staff. Specially want to mention the hospitality of Ankit on the terrace really friendly and cooperative.
125,Ankit gave us great service! Thank you we love antidot
126,Ankit was exceptionally polite and very professional. Will definitely come again.
127,Staff was helpfull sp. Ankit Chauhan
128,"Went to place thinking about a perfect rooftop but unfortunately it wasn't that perfect.Service - Extremely SlowStaff - okish..they just keep the things without even telling you that ""here is your order"" & are always in hurryFood - not good...we order pizza, white sauce chicken pasta, tangy sauce meatballs, chilly chicken, peri peri chicken - they all tasted bad. Fish & fries was the only good thing that we had. But portions of all the dishes were too small.Ambience & decor - at the rooftop the things & feel were good but on rest of the floors it wasn't impressive at all."
129,"Lovely place! The terrace has a great vibe. Definitely ask for Sahil, took super good care of us! 👌👌"
130,Great ambiance and courteous staff! The rooftop area is the best!👌🏻👍🏻 The food is also good!👍🏻
131,I had a great time here Mr vinay did a wonderful service Hope to come soon again 😊
132,Loved the place amazing food loved the hospitality of mr vinay
133,Good food and greet service by Mr vinay
134,Vikas provides a great service here
135,"The food was really really nice. The staff was really cooperative and sweet, especially vinay! Thank You Mr. Vinay for making our evening memorable!"
136,Good food nd ..... Vinay is very good server
137,Good service by vinay
138,Very courteous staff especially mr. vikas. Highly recommended place with good ambiance and good food👍🏻🥳
139,"The garlic breadsticks were really good and full with flavor. If here, must try them."
140,Amazing food n music so nice mostly service by Mr. Vikas is exclient I love this cafe
141,Vikass
142,Really great place! The ambience is really good and the staff is very nice. The food was good. the pasta is a must try. Good service by Vikas.
143,The food here is amazing 🌸
144,Amazing food!!
145,"We ordered starters, drinks and main course. The taste of chicken in general was not that good in the starters so we skipped it in the main course. Dal, paneer and breads were amazing just like the excellent ambience!"
146,"Nice ambience roof top and staff was good, love the live music,tasty food specially veg"
147,Must try prawns aglio olio . Awesome ambience. Lively crowd . Must visit this place. #antidotwaterbarcafe 🥂
148,"Lovely stuff and good Ambience. Ankit was a great host.The wait time can be improved for the roof accomodation.. all over, cool place for a Sunday night!!"
149,Great place and nice food and good service vikas
150,Sandeep was with great service at Antidot cafe👍 Keep it up bro🌹
151,amazing place to come with friends n family. n sandeep is a nice person 🤗
152,Ankit- amazing service by this fellow.
153,Amazingly courteous staff and wide/good variety of food and drinks. Ankit here is particularly exceptional who is really interactive and friendly.
154,It z delicious food have ever had... I genuinely found such a sober place and lovely music ...enjoyed lot .And yes a boy ankit had served such a wonderful dinner nice staff also ...
155,Good service by mr. ANKIT CHAUHAN very good food😋
156,Food is amazng and mr anikt was great in his service
157,Serviced through Ankit
158,The service here was amazing. Vikas really helped us serving the best food with best taste
159,"Good service by mr,ankit chauhan and good food 😋😋"
160,"The staff is amazing , they were all really helpful The person waiting on us, Sahil was always friendly and professional. Will define come back"
161,The food was amazing and the service too.. thanks too all the staff and especially Sahil.
162,The ambience is great. We ordered white sauce pasta and non veg pizza. The food is average!
163,Ankit and arman did a really great job. Excellent service☺️☺️
164,"I visited the place with my friends and this place has very nice ambience and even nicer live music. Though the food and drinks were nice untill we had pizza. Pizza was awful. Hard crust and tasteless toppings. The overall exp is good however it could have been much better with a good pizza. And also, thanks Vibhu for serving us. You were really polite and responsive."
165,Great service from Sandeep
166,"Great service, Mr. Sandeep. :)"
167,Very nice place specially the staff hotam singh
168,Ankit gave a great service
169,The ambience and service at this restaurant is great. Mr. Ankit at Antidot did really good service for us. Do try the 'Peri Peri Chicken Supreme' at this place ! And do try Fruit Bull for the beverages
170,Bad photographers! 🤣🤣
171,Thank you to Mr Vinay for his amazing service
172,good ambience and really delecious food although the oreo pizza was not upto expectation but overall a must visit place thanks to vibhu must place visit
173,Great food and ambience. friendly people. Vibhu was really good with food suggestions and service..must visit place
174,Best place for a sunset view. Beautiful ambience. Warm staff. Vinay was very prompt and sweet.
175,Very goodGreat service by Ankit
176,Excellent service by rana
177,"Great service, by Rana!"
178,"Very courteous staff , hats off to Vibhu he made sure that everything he got was according to our taste, he made our experience really special and personalised along with amazing live singing making the perfect ambience"
179,Nice service by vikas
180,"Nice place, good service by Mr. Rana"
181,All are greet specly thnks for vinay great service 🎉
182,"Great food and ambience, and great service by ay arya"
183,Great service by vinay.
184,Great service and ambience.
185,"Excellent service by Rana ,,, He is just amazing.."
186,"One of the best places I've been so far. Good vibe, kick-ass live music, amazing food & service. Big shout to my bro Hrithik! Keep it up!"
187,Really amazing ambience and the food was good too . Vikas named staff was very courteous and helpful.
188,excellent service
189,"Staff is good spcly the guy with name Vikas , he is good & friendly :)"
190,"Went to antidote for a birthday party , just loved the place, rooftop is amazing in this weather , they have all arrangements to keep you warm in this cold weather, the service is amazing , we were served by VINAY , this guy is amazing, he was keeping a note of everything we were ordering , and the drinks came like we asked for , its a place to be in this weather."
191,Great service by Vinay.
192,Amazing service by Vinay
193,Great food and ambience! Great service by vinay
194,Specially sahil
195,"Great place, Sahil was a great server"
196,Vikas
197,"Chose this place to meet a few friends for a late lunch. It was a Tuesday afternoon and I was the only person there at that time. They were playing very loud music and I had to tell them to lower the volume because I was not being able to talk to my friends. They did that after some time but it was still too loud. The food was fine - not exceptional but not bad either. The chilli paneer was just fine, so was the pizza. I liked the veg galouti kebab the best - it was really soft and full of flavour. The virgin mojito was prepared well. Overall, a good experience but it could have been better."
198,"You should be selective about the entry of stags as our experience was totally ruined by group of four already drunk guys, irritating us and was invading our table space..We immediately had to get our food pack and leave.."
199,Awesome ambience and amazing food. We were served by Roshan and Armaan and they were very courteous. Must visit!
200,The ambience is good but food was very average.
201,All are greet and live music osm and thnks for Vinay greet service and friendly behavior
202,"Sooraj is an amazing host at this place, the ambience and food was out of the world. Live music made every moment soo enjoyable. Surely visiting here again. Keep up the great work."
203,"Sooraj was an amazing host, i recommend this place for an amazing ambience and drinks , must try for all delhities"
204,Food was yummmm And ambience is too goodServed by Sahil ❤️
205,Had a great time here. Would surely recommend this place. Vikas was a very good host here.
206,Very good aroma - sahil ( the best service given by him)
207,Amazing ambiance. Well addressed and great service provided by Mr. Shail
208,Good service. Vinay was very kind and courteous. Amazing ambience.
209,Good service by vikas
210,Nice ambience...nice food....had a really nice time...roshan attended us very nicely and served us well
211,Staff is very goodSpecially Sahil who served us
212,Very Nice Food.. Great Ambience.. Staff was too polite.. Sahil server helped us alot.. So nice
213,Great Staff.. Nice ambience.. Sahil was very courteous to us..
214,service by suraj amezing     thank you antidot platrer was amezing drinks was very good thank you suraj for ameging service amazing aura and ambiance
215,Best service by Suraj
216,"Amazing service and really good ambience. Mulled wine is amazing. Should try their pizzas and pasta, they make it well here. Was served by sahil who was really courteous and served with a great smile"
217,Amazing service provided by staff member Vinay. Very friendly and polite. Good food especially dahi k kabab and pasta. Great experience over all👍👍
218,Loved the food and ambience....warm and courteous service by the staff especially by Mr Vinay !!! Great place to spend the evenings.
219,This place is wonderful. The staff(Roshan) was polite. Great experience!
220,"It was an amazing experience, drinks and food both were really well.Sahil was amazing with services and very polite."
221,"This place is just not about the hype it got. It has nothing special to offer, view is decent but you can get better view in its locality only and the food is just below average. Would not recommend to anyone."
222,"The staff is amazing and this whole credit goes to Vinay a staff member who made me have such view about Antidot.I visited this place on 4th of jan 2020 with my friends.And he made sure that he is at our service whenver we require anything.I have been to many cafe's, lounges and bar but the service at Antidot is incomparable.They will ask your review about the food, the drinks then and there.And thanks to manager and Vinay they made sure that we get the best service by offering us the complimentary drinks as well.This place is worth paying service tax."
223,"On a day with almost no crowd on the rooftop, we asked to change the table as we were not comfortable. But were denied with no explanation. Also, the food portions were lesser than expected for the price paid. I am not hoping to return anytime soon."
224,The food is good. The service and the staff is exceptionally great. Very polite and attentive. Special mention to Ritik and Sudhir
225,"Great service by chandan ,,, awesome food n drinks thank u chandan"
226,"The place is nice and happening with lovely ambience and Mr. Vikas has been a nice person with good hospitality, proper attention was given with quick service👍"
227,Thanks to chandan for spotless service
228,Our server Vinay was very good! Coming here again
229,Good Food and Good Hospitality. We really appreciate the services of Suraj and Vinay. Looking forward to our next visit. Awesome Live Music. Perfect Ambience!!
230,Suraj. Nice service. Awsm ambience. Live music just made our day!!
231,Its a fabulous place..i loved it...live music..service..food...its amazing... vinay is too good at its services...
232,Atisha
233,"Great pick for a Saturday night! Good food and great ambience along with some really good music. Had Chicken steak and lime squid, recommend both!Great service by Mr. Deepak!"
234,Vikas has been very kind. The place is great
235,Suresh and Vikas served us very well and made great arrangements for us to counter the cold winter night. Great job guys and great food and drinks!
236,"Nice service by the staff especially Vikas Kumar, he was there all the way till me and my friends were here"
237,"The ambiance is too good and its an awesome vibe at night , the food is very tasty especially theix sauce pasta , the staff is also very courteous and professional.Quality-4.5/5Price-3.5/5Food-4/5Hygiene-5/5Must Try - Mix sauce pasta"
238,"Suresh, one of the best bartenderToo polite and a smiling face Great experience!"
239,"Antidot water bar is a great rooftop bar with lovely ambience. They have live music almost everyday. The food is great, with chicken chettinad with Malabar parontha standing out. Service is prompt and staff professional and friendly. Shout-out to their manager, Mr. Rahul and bartender, Mr. Sudhir for being accommodating and providing outstanding service always."
240,setvice was really good nice place good ambience (thankyou  :) ritik and suraj )
241,Loved the ambience❤️Suresh thank you so much for the amazing service☺️
242,The service and food was excellent. Our server Mr. Ankit was prompt and courteous. Loved the rooftop seating.
243,Amazing food and service by Ankit
244,Ankit does a terrific job. He deserves an increase
245,Vikas was very good in serving us. 😍
246,Vikas’ service was great
247,"Way too good service , ambience is appealing and food is amazing"
248,"Nice ambience, delicious food. Lemon coriander soup was quite nice. Dahi ke kabab were good and crispy. Thank you Vinay for great service."
249,"Great service and ambience. Must try chicken chettinad and berry sangria . Also, a big thumbs up to Suraj 🥂"
250,Great service Suraj!
251,"It was a great experience. Have come from Pune and was looking for an amazing place to hangout, and this was the one for sure. Very courteous staff, specifying Mr. Sahil who helped us through our time. Definitely a worth coming place. Here in delhi till 25th December and would definitely be coming back to this place before leaving."
252,"The food and service was really good, especially by suresh, who was attending to us."
253,I come to this place very often bcoz  for service and I know the person called Vinay who  gave the service very well.
254,I had a lot on fun here . One of my best experiences . I totally recommend this place .The staff is great .vinay specially was commendable .
255,The best that we could get out of this place.. we had the best time here.. the music was amazing.. the food is amazing.. the staff is amazing.. talking about the staff.. I would totally recommend VINAY.. HE IS THE WHO COULD SERVE GUYS . .. come soon to this place .. u will totally love it.. I totally recommend this place and VINAY TO ALL
256,"Loved the ambience and the vibe of the place! A great place for friends to hang out and catch up over old times and make new memories. The staff is really polite and friendly. Special mention for Mr. Vinay, great with suggestions, service and a really good conversation starter.Would be back soon"
257,"Amazing experience, went there with my friends on Wednesday. They had live music which made the night even more amazing. And service is also very good, they cater to everything instantly special shout-out to Vinay he took care of everything."
258,Had a great experience over here. The food was amazing food and great hospitality. Mr. Vinay helped a lot. And would come back here for sure.
259,"So we discovered this place and it’s the best place to be in Safdarjung. It’s spread over 2 floors and the ambience is great on both. The rooftop is crazyyy. They have heaters, live music and offers on drinks. Our table was managed by Vinay and he’s the best server we could’ve asked for. He took care of each replenishment which is really rare these days. They have a huge variety of menu however I suggest ask your server what’s special and go with that. They know what’s best ;)"
260,"Have been to Antidot twice before my last visit but this time, my lunch was really great. Because of winter season, the view from their rooftop seating and ambiance is amazing. We had fish tikka, mocktail and hummus/pita platter and all the dishes were tasty. Would love to visit again just for ambiance 🤩"
261,Amazing exceptional service by suresh !!
262,The ambience is great. Perfect place to chill with friends. The staff is courteous and warm. Special mention to Vinay who was waiting the table. He was really friendly and the service was on point.
