,TOS - Take Off Scarlet
33,"I visited this place for my friend's birthday and we all had a great time as this place was just so good that it gave us the vibe we all wanted. And coming to the food, their food was nice but the problem was just portion i would have been much happier if the portion was much more compared to the price they ask for.❤️ Otherwise if you're going with your friend for fun, this place is highly recommended 💯"
34,"Take off Scarlet is a lounge that has been in business since long. I am regular visitor so I decided to visit this beautiful lounge once again on the occasion of Halloween. The whole area was decorated with haunted items like skulls, cut outs of witches, pumpkins, spider webs and other scary decorative items. They have a two floor dining area where the first floor is fit for people who love to party as it has the dance floor and is always buzzing with loud music. The 2nd floor is comparatively quieter with soothing music and amazing ambience. As for the food, I ordered drums of heaven and lemon chicken as starters, both of which were succulent and flavoursome. I also ordered a peri peri...read more"
35,"This is the best place to hangout with friends. Ambience is very good. Food is good and hygiene. I tried here pizza, noodles, chilly chicken all are good. I recommend you to try this placr once."
36,Wonderful place for chilling out tasty food and amazing ambience and i loved the platting of food i really enjoyed❤
37,"They have such a beautiful ambience, Staff was polite and food was yummy. I ordered white sauce pasta (creamy and just the way I love) and chilli potatoes crispy and spicy. Recommended ✔✔"
38,"Today, I had a weird experience at take off Scarlet. I was asked to write a good review in return of a complimentary dessert and as a normal Indian citizen, I agreed. I wrote a good review and showed the guy, he took a picture and they said it'll be given whenever I ask for it. Now the non-communicative and hypocritic staff they have, denied me the complimentary dessert after getting there work done. The manager or whoever that guy was had a rude tone and wasn't giving us any privacy even though the restaurant wasn't even half filled. That was a mood spoiler. The hookah didn't even last for half an hour I had like ten puffs. The manager didn't like the intimacy probably because of the age...read more"
39,I had great time here with friends. The rooftop sitting is very good. This is the best party place.The ambience is so nice and comfortable. The food is very good and hygienic. Dj is definitely the best. Photogenic environment. Staff is very polite and cordial.They offers valet parking which is the good service. It is spacious place with good interior. A must visit place with friends. 
40,"Recently visited this outlet, and had a great time. The menu was so extensive. I ordered their Tandoori Non Veg Platter, and it was definitely one of the best assortment of starters. It has seekh kebabs, fish tikka, chicken malai tikka and what not.I also ordered their Lemon Fish, and it was super soft and flavorful. Loved it. The Bartender special Mocktail was orangy in flavor alongwith the Chocolate oreo Shake. They were accompaniments to the food. For main course, since we were super full, we ordered their Chicken Biryani. And it was really tasty.In the end, we ordered the brownie with ice-cream, my favourite. The brownie was super soft and delicious.The sanitation was taken good...read more"
41,This is a great place with some nice ambience. Their rooftop ambience is really amazing and is best to visit in rainy times. The place also serves the best taste on foods and all. I tried some pizza and pasta here which were both incredible. The pizza fillings and the creaminess of the pasta. Everything was so apt and perfect. Really a great place to spend your time and enjoy...
42,The terrace was so peaceful n calm . I have tried their fish tikka n green salad. The fish quality was really good n authentic . Also the salad was fresh n creamy. It was a wonderful experience visiting your place.
43,"People over there must be taught about how to talk to customers. When the manager / owner talk to their customers about their standards and status, what can you expect from their staff."
44,Had my birthday party here with my 7 friends and rommies. Amazing dj and dancing place with photoshoot area and rooftop dining. 
45,Its amazing the staff is courteous the crowd is average the music is good and the food is also nice 
46,"One of the best from club road, punjabi bagh. I personally love it. Its a good party place. Ambience is so good. Dj is perfect. Food is good, though sometimes a little late service. Terrace part is so cool. You can clicj really great pictures on the terrace. The terrace is the decent part here. Thd crowd is really amazing,the dj cheers up eveyone.😍Their photographer too is really good, though they upload the pictures after many days 😏 Anyway, my experience here was literally a good one. ❤️#agoodone"
47,This place is like a vibe . Totally amazing for any type of gathering. I love the dj and music and also the staff is really cool. Love partying here. Food is sooo yummy. I love their fish and chips and spring rools and pizza and prices are also pretty worth it . Must must must try this place. I always hold my family and friends parties here. 
48,"The place is perfect for a rocking party . Prices are affordable , One can have a dual expirence of club and rooftoop dinning , The food tastes good , and the DJ making it one of the best partying place ."
49,Visited this place twice and it was super cool! Prices are affordable! Great ambience and nice staff!
50,"TOS is one of those places where you can have a mix experience of both the rooftop world and the club world. The vibe on both the floors is really different from each other . The rooftop is very subtle and calm , while on the other hand the other one is a place for total party animals . Here I'm talking about the people who live life to its full potential. "
51,Amazing place and super affordable. Staff is friendly. 
52,"Amazing ambience, beautiful rooftop, amazing music, overall a nice party place to hangout and have fun"
53,One of my friends gave party here. The ambience is so good with awesome taste of food and DJ. It is little costly but perfect for a birthday party
54,Went out with friends and had amazing time the food I loved the most was pizza and burger the noddles were also great service friendly staff and young people would love the environment 
55,It's a nice place to party in Punjabi bagh. Ot offers good food and space with beautiful rooftop. The main attraction is the DJ. Much go after this pandemic.
56,"Many friends of mine have gone here ,so I also decided to try it. The ambience was good but the music was too loud. Food was good. The burger and the drinks was pretty good. "
57,Great ambience and vibe specially in winters when they give you blankets on rooftop and you can wrap yourself up in it & just sip your drink &dine.Musttry❤️👌Red-wine sangria👌Mixsauce pasta👌Honeychilli potatoService-4/5Ambience-5/5Food-3/5
58,"A perfect place for partying with friends!!Food-4/5Ambiance-5/5We ordered :- ∆ chicken galafi seekh∆ Amritsari fish ∆ Mutton seekh∆ pizza∆ chicken nachos ∆ Chicken wings In drinks :- My sweet babe , kiwi cooler , chocolate shake. All of them were good in taste as well as quantity.MUST TRY PLACE !! SPECIFICALLY IF YOU WANNA PARTY!! "
59,Good place for hangout with friends
60,"This place is nice,  I always love to eat non veg platter there,  very hygienic,  nice food presentation,  staff is very polite but service could be better,  reasonable price, ambience was good.  "
61,The food was extremely delicious but I felt the quantity was a bit less in paneer tikka.Manuchiran was the best of all the dishes.The dj was also good but he didn't play songs on demand that was only a little thing they should improve.Ambience and service were extremely good and quick.
62,"A perfect place ❤️ Totally loved visiting this place One of the best ambience ever experienced with awesome food.. each and every bite tasted for different cuisine. ..I loved the paneer Tikka Masala here! The food was great overall, and  food was delicious... I had a prior not-so-good experience but this place was just great and loved the food and spices. ..It's getting very hard keeping track of my day 🍸🍹 #BLACKBERRY MOJITO #virginmojito.."
63,"Amazing place to eat , fun , drink & specially dj"
64,Best place to chill with friends in Punjabi Bagh affordable they serve good food have a good dance floor as they service are amazing But I am not satisfied with there loud music It wass to loud as also creating a noise pollution and make headache 
65,Its an amazing place to visit with your friends. They serve delicious food and beverages and they also have rooftop sitting so that we can enjoy the weather also. Its a must visit cafe in PUNJABI BAGH. TAKE OFF SCARLET. 
66,"Went there on my friend's birthday. We ordered chicken , paneer tikka, hookah , several cocktails, beer buckets, etc. And the food was good. And the brownie with icecream was very very delicious. "
67,"We went there few days back. That day there was quite large gatherings. The first good thing about the place is it's ambience. The rooftop one, the dj one, the closed space one it was very appreciable. But what we didn't like there was the staff which was less in number and because of that they were struggling to serve us. Our order took too long and also the rum like old monk wasn't available. We're sure they could provide much good service and food when people are less in number there as we have heard."
68,I visited this place 1 week before and thought of to review this place now as I got time I don't have pictures of this place but I have a lot of memories and damn good experience here which was so mesmerizing and was the bestest experience in my whole life.The ambience as well as the service of the restaurant was just picture perfect and they were also treating me like a king of the palace and their desserts are yummmmmm like honestly I didn't have such desserts ever before I honestly loved it very much and I liked itRecommended place
69,"Tos is located in new delhi and it has a great ambience with the rooftop available and it has a full bar available and the staffs are good.This place has a an cuisine like continental, chinese, Italian, etc. This place is perfect for having a dinner or lunch with your family and friends. And it is a perfect place for party too.The ambience of the outlet was amazing and the it was full of colour and lights at night.."
70,We loved the environment thank you for amazing time
71,The take off scarlet restaurant and bar is best fine dining place.The ambiance of this place is amazing 👍👍..The service of the staff is good.You get every brand of beers and drinks shakes as well.The taste of the food also very nice.Overall it was great 👍
72,"One word for this place is HUGE… The TOS is famous for its drinks, food and vibes. It has something to offer to every class of people whether you need to throw a party, spend time with your family or friends or just want to grab a few drinks this is the place. We were a bit early and that too on a weekday, so the vibes were relaxed and as the time passed slowly the crowd filtered into the shadowy space. .We hadTandoori chilly chickenButter chicken maggi masalaChicken chaat kulchaWe really loved the food over here and will love toVisit them again."
73,"When it comes to hang out with friends over food or drinks, this place called TOS is on the top of our list. The ambience as well as the vibes as this place are so amazing. Coming to food I would suggest you some must try dishes here. Do try dal makhani shots with naan, chicken pita pocket and handi biryani  with mix raita. Dal makhani shots are a good twist to regular dal makhani, dal makhani is very flavorful with lots of cream in it. Pita pocket has good filling of chicken with minimum spices, I just love it taste with tahini sauce. And biryani is cooked slowly with veggies and gravy... it taste so well with chilled raita. You should definitely try this and thank me later ;)"
74,TOS - Take off scarletThis place has great ambience and it's a great place for night parties.Had been in delhi and wanted to go for clubbing so had been to this place.It has rooftop dining as well as indoor seating arrangement.I had ordered▪︎Oriental cigar rolls- The presentation was nice. It was a crispy cigar shaped roll which had cottage cheese and few veggies and was served with chilli garlic mayo. It was good in taste.▪︎Lasagna ala fungi- lasagna is an Italian dish which is basically layers of pasta with veggies and cheese and which is baked. This taste good and was well Cooked.I liked the hospitality and would be visiting again if anytime I'll be in delhi.
75,We had ordered-*Murgh malai tikka*Paneer do pyaza*Mutton Handi Biriyani*Steamed riceThe service was pretty quick.The do pyaza was very flavorful and tasted amazing.All the dishes were cooked to perfection and I absolutely enjoyed it's flavor.The quantity and  quality of their food is up to the mark.The ambience was good and the staff was polite.I'd like to visit again soon.
76,Food and service is very poor. Staff is very rude. Wouldn't suggest anyone to visit this place.
77,Worst food and even worst service.The staff was very rude and the manager's tone was very bad.The pasta served was tasteless and the drink ordered came after the food got finished and the drink was staling
78,Take Off Scarlet can be perfect for partying. The beer is great and affordable while tandoori and chilly chicken are the stars of the menu. The food is great and so is the ambience. An evening well spent and would encouragingly recommend!
79,Beautiful rooftop area and amazing ambience.Good music and yummy food. Staff is friendly and polite. Must visit for some quality time.
80,"Take off scarlet is a brand with it's branches all over Delhi. This place is known for it's drinks as well its ambience, the ambience of the place is just amazing. Take off scarlet is a longue which offers a variety of different cuisines to satisfy your taste buds with.This is the place where you can chill with friends and also take your family out for dinner, the best part about this place is it is family friendly too. I had the  chicken tikka quesadilla which was the perfect way to have  chicken in starters, also had loaded chicken nachos served with sauces. I was hungrier than usual so also had the dinner plate, which had rice,tandoori non veg platter (a very good combo). Also the live...read more"
81,"This place is in the heart of the city with huge space and serving best of the food and mocktails/cocktails.Started the evening with.. chicken tikka 4.5/5 went good with the drinks.Tandoori malai soya chaap 4.5/5malai basil paneer tikka 5/5 good to have with drinks.In the main course we tried..1.Paneer makhanwala 5/5 charred butter paneer, kidney beans,chunky tomatoes with herb rice.it was an awesome meal.Also tried their pesto 5/5 was good.Overall it was indeed an awesome experience with great hospitality of the courteous staff.I totally recommend this place to enjoy great evening with family and friends."
82,"Well the ambience here is just lit !! So much camera friendly place it is!! Such a fine place with super courteous service.food is awesome with excellent quality!! As much as i loved the name of place i loved the food too.quality is great with main focus on presentation as well.your dish is beautifully presented here.ordered- paneer olive tikki , tri colour nachos and tangy golgappa shot.All of them were so good.nachos were great with 3 type of coloured ones.quite innovative.golgappas had 4 different varities of water to go with.equally tasty.tikki was something that stole my heart!! Proper paneer stuffed tikki served with chutney and all.delight!!! The place is fun to go with family n...read more"
83,So i recently visited this restaurant and my experience was brilliant. The locality of the restaurant is great. Staff is very courteous. Ambiance of the restaurant is very good. Very decent crowd at the restaurant. We ordered pink pasta which was really great. I would definately recommend this dish to everyone. Even the pizzas over here are very delicious. I would definately recommend this restaurant to everyone.
84,Yeah its was great experience the food is to tasty & yummy we are enjoyed the food . Staff is good .
85,Take off Scarlet is a unique restaurant as far as am concerned about like the restaurant is quite spacious and the experience i had here was just mind blowing and made me feel an unforgettable experience with my friends I ordered 1x Pasta which was good enough and yummy as well as the cheese was also jist damn cheessyyyy and it was also cooked very well i loved it
86,"Superrrr amused by the name i decided to visit this place out with a thud. And guess what, it turned out to be an amazing experience around.The crowd out here was soo lit and njoying.Loved the ambience and the quality of service."
87,Tos - Take Off scarlet as the name of this place sound very intresting and fantastic.....this place is located in punjabi Bagh.. Nice and good place..Serves food was delicious and tasty..Quality and quantity was also good.... worth of money.. They never disappointed you..Biryani and Pizza was really mouth watering and lipsmacking...Taste was authentic.. good quality of rice.. I really love it..pizza was so yummylicious and Delicious..Try it guy's
88,TOS- Take Off Scarlet❤Amazing place dine in available in delhi!They have amazing rooftop ambience..Cool place to hangout with Our friends..They serve amazing food...The veggies were used freshly..Loved having the food!Dishes i tried:Tandoori chickenChilly chickenBira whitePanner tikkaWorth visiting
89,"The Name is very unique..""Tos-Take Off Scarlet""...Really guy's Ambience is fantastic..Lovely decor,live music is also available..and bar section is provided..Service good, courteous and friendly staff..Chicken keema yummy and delicious. Taste was authentic.. served with delicious chutney.. And salad..Pasta was so so Yummy and delicious..Highly recommend 💯"
90,"The cafe has open dining area, which is really beautiful and colourful. The ambience is really amazing to get pictures clicked. The food served was tasty, just the portion size was small. We ordered cocktails too. Which were also great. Loved the dancing section indoors. Overall, had a really amazing experience."
91,"Lovely place..""Tos-Take Off Scarlet"".... This place is famous for.. Ambience, decor, foods etc..Ambience is fantastic..dj music is also available..Foods was yummy and delicious..served with fresh and hot..Service and Staff was Good..Keema fries yummy and delicious..fries was crispy and served with delicious sauces..Biryani was mouth watering and lipsmacking.. I loved raita and salad..Highly recommend 💯"
92,Tos-Take Off Scarlet..Wow 👌..Amazing place.... Ambience is fantastic.. decor is very attractive..dj music also available.. I Love music..Service was nice And prompt..Really Staff was very courteous..Seating arrangement was also Good..Pizza was amazing..it was so yummy and delicious..taste was good..Peri Peri chicken Tikka was also amazingMust go
93,Tos the take off scarlet is Fabulous Lounge i found in Delhi...This place has become one my Favourite place in my bucket list...They really An Authentic North Indian cuisine.... Visited to hangout with friend... Really enjoy here ...Foods are Full of flavoursome and Delicious.....place was so elegant and Fabulous...m
94,TOS - Take off scarlet is really very dashing place to visit with your Loved ones ...Got a suggestion From my friend so visited here ...with my someone special... She loves this place very...place was so elegant and beautiful....Staff is very friendly and helpful...serves amazing and very presentable foods ... Quality and quantity is amazing..... Really we spent fantastic time on this place .
95,"Recommended for friends hangout as it gives a dim light ambience with loud music. Offers a good space on rooftop as well ! Ambience is very good. Though it is packed but offered a good space for a corporate party of 13. Service was a bit slow. In food everything was good like Arrabiata Pizza , chilli chicken, Alfredo Pasta, Murg malai tikka, paneer tikka , Fish in chilly oyster sauce, Dal makhani and paneer Lababdar was on the table. Their presentation is commendable ! Overall it was a good experience !"
96,Best place to visit every weekend
97,"I went to this place in punjabi bagh has a very pretty ambiance with dim lights and comfortable sitting with nice music. I had here chicken lolipop, it was really tasty, chicken was crispy from outer part and soft from inside. Really loved the presentation and the sauces. Service was good. It was a great experience here."
98,Best place with an impressive rooftop is just great. Huge seating area with nice ambience andfood looks so delicious and nice. My fav here is nachos its awesome crunchy and crispy. Caramalised onion crostini is good. Garlic bread topped with caramalised onion. It had different flavours and good in taste. Paneer tikka alpinoes pizza was good. toppings were fresh and nice . Overall it was just awesome.
99,I went to this place with friends and its a nice place with good music and good sitting area. Spacious and its always packed. A very happening place with rooftop seating as well. Presentation of food is very nice and clean. Service is prompt and they even suggests what to order if asked. My reccomendations from this place are greek feat salad. Very fresh and nicely made with good amount of sauces in it. Pita pockets is made heaveny good and flavours are awesome. i am very much impressed with this place.
100,"The place is really good, after it's association with AIR,Take of Scarlet has been the limelight for good food with great company.Noodles are a bit disappointing because they are just too short.This amazing tissue dish was made by me while they took time to prepare our order."
101,"I got to this place and it does very good concept themed as I have been observing it for a long time and this place is beautiful specially the rooftop it's very photogenic and relaxing place. I got some fish fingers and a virgin mojito and my friends got some pizza and other drinks as well, but I would truly say this place is a must try and food served is so fresh and good quantity."
102,A terrific biryani and a terrific cooking of the dish. Was so pleased with this dish that I almost instantly loved the food. The biryani and raita served together was even more lip smacking. I ate the entire plate even packed one for my home.
103,Visited this place few weeks ago.Ambience was totally great.prices were also reasonable.Food 4/5There were dhols as well which added to our expirience
104,I visited the place with my 3 friends .First when we placed order for our drinks they bought all in one big glass and asked us ti serve ourselves and then give us roadside used plastic glasses for drink . Food quality and quantity both were very bad .Not recommended place for anyone.
105,Good place for hangout .. Reasonable place and staff support is very good ... I suggest all to once go and live your life there ...
106,"Fine lounge with not so expensive food and drinks thanks to nearby always fully filled by very young crowd,only draw back is blarring music which is too loud even in afternoon, overall a pocket friendly option."
107,Mr Hoshiyar Singh was very hospitable and sweet
108,One of my favorite lounge and this place is really good. Food was average and the service was quite slow. The decor and interior were catching eyes and rooftop is also really great.￼
109,I went here on 14th Feb. Worst experience of my life. Ordered crispy corn and drums of heaven both were pathetic. No service manners. And the place was looking like a make out place. Not at all a family place. Will never ever visit such place. Even 1star it doesn’t deserve
110,The rooftop is amazing. Foods was good . I went to this place with my friends .they liked it very much . I tried pizza. Oreo shake.
111,"One of the most famous places in Punjabi Bagh, Take Off Scarlet will not disappoint you when it comes to taking instaworthy pictures and ambience. The rooftop view is amazing and so is the food."
112,I recently visited this cafe in.punjabi bagh. I really liked the ambience . The food was good and hot . But the service was slow
113,This place is probably my best party place..I visited this place 2-3 times and Never got disappointedWith a very good ambience and a beautiful rooftop this place has all you need for a party or a dateDancing area and dj is also niceService and food is also greatA must recommend place to celebrate or party.Food 4/5Ambience 4/5Service 4/5
114,"Hospitality is extremely poor here. Servers are respecting customers, handling 3-4 tables at a time and rushing here and there and top of it their manager is not taking any action against this inappropriate and disrespectful behaviour. Never visit this place."
115,"I visited this place 2 months back. Place was totally packed up during the early evening and was too noisy. I took a call to sit on the terrace , which is beautifully designed. Food was below average."
116,"Visited here with friend as we was looking for weekend hangout place. They have indoor and outdoor both seating space. They have option of live screening of sports also.Tried Pizza, Mocktails and Pasta. Food and drinks was good, service was slow which can be better."
117,Went to the place on new year's eve.It was crowded at that time byt the staff managed the crowd very nicely.The place have a dj and a the cafe is also roof top.Food and drinks were nice .Staff was courteous.Highly recommended
118,"Food served was really fresh and hygienic, drinks served in proper manner Staff was generous and highly attentive despite alot of consumers inside ,they efficiently attended all of their customers. their pizzas and baked nachos were dream. Though a lil spicy but good for the taste and kick ."
119,"Great ambience, Great Food, Great Service, Friendly Staff. Everything is perfect here. Will definitely go back to this place especially on weekends"
120,"This cafe is One of my favourite lounges in West Delhi. It is located on the main road of Punjabi Bagh club road. The decor and interiors were eye catching. They also has a terrace sitting arrangement and is also great for clicking pictures. Coming to the food, they have so many options to choose from, it takes quite some time to decide. At first we had few cocktails and after that we had few starters, like paneer tikka, chicken tikka and chilly chicken is delecious. I really liked their butter chicken with naan. A very classy place for a date, the price is very good considering the offering and quantity being served."
121,"This is one the places i'd love to visit again. I went there with my friends and fell in love with the ambience at first sight. The choice of music here was too good We all enjoyed here alot  Spacious enough to dance Visited many cafe in PUNJABI BAGH but didnt find dj anywhere except this place This cafe provides both indoor and outdoor seating The outdoor seating which is a rooftop The hospilatily is commendable and the food is made with love which tastes amazing. This place also offers alcoholic drinks and hookah. . SO, we ordered VEG NOODLES: full of veggies tastes okayish VEG PIZZA MARHERITA: the crust of pizza was so soft, the amount of veggies on it was...read more"
122,This is one of the best lounges in West Delhi. The DJ and photographers are so much better here than much places. The food is equally great. The ambience is really good. Staff is very friendly and helpful. I'd definitely recommend you to check this place out.
123,looking for some good martini and Manhatten on a rooftop in delhi in winter season...then TOS is your place... i loved the whiskey-based mocktails at this place... the prepared some of the best snacks with drinks be it cheesy anchos or peri fries... and yes i am mentioning it again the Manhatten was something i really loved... if you are a mocktail person and love the miled yet strong drinks then come here and drink their Manhatten and you will come back again and again...
124,We visited this place thinking it would be great but sorry to say it was a horrible place Thier service sucks. For everything we kept on shouting and asking 10 times still they were not able to deliver what we wanted. But they want 10% service charge which according to law is not mandatory to pay by customer we asked them to remove it but they didn't. They charged us 250/- in the name of service charge which was not even worth for 5/- please don't visit this place this was their service when there where no customer so you can think what they'll do when it'll be crowded. Worst experience 👎👎👎
125,"Food tasted good, one thing which was very ajeeb is that when we asked for onions with food they said no onions will be served complimentary, we know onion prices are quite high these days, but if you are charging so high then giving a little of it will not create any difference, even the local vendor in our colony serves onion.Very baddd"
126,"there was no management . very late service. food was not good at all . we had corns ..but there served cold , spring rolls wasnt good either . the bread with pasta had a hair in it . worst experience"
