,The Hong Kong Club - Andaz Delhi
34,"Hongkong club is one of the best places if you are looking to spend time with your special one it’s a kind of club located in Andaz Aerocity. The place is quite attractive they have a huge bar with a very warm sitting. The place is known for some great food and zodiac cocktails. Things I ordered - 🍱Prawn Dimsum - soft and perfectly done Dimsum with amazing prawn filling.( must have) 🍱Classic Barbeque  Chicken bao - looked so beautiful and tasted heavenly. 🍱Battered Tiger prawns curry leaves and burnt garlic- heaven for prawn lovers it’s just amazing and can’t be defined in words🍱 Ice bowl banana, blueberry, salted caramel ice cream - YOU JUST CAN’T MISS THIS...read more"
35,"Hong Kong club is one of its kind club, located in the magnificent Andaz hotel. The restaurant is beautiful, in terms of decor, the huge bar in the middle, and the comfortable yet classic sitting space.The Hong Kong club serves authentic cantonese cuisine, which I really enjoyed, the food is prepared fresh by the Cantonese chefs, in fact all the dips are also house made.For starters, I can recommend you to have chicken wontons, and the corn cake having a really soft texture, the chilly dip compliments it quite well.For mains, I had kung pao chicken and noodles, which were spicy, and chicken nicely tossed in the kung pao sauce and cashews was just amazing.The service was great...read more"
36,It’s a beautifully place. The food was good. No doubt . What let’s one down is the music. It’s 1 o clock and the music still hasn’t picked up. It’s vague and frankly doesn’t live up to the hype of the reviews. The food is good. Desserts are great . But music - indecipherable! If you want to come to this place for music - forget is . DCG and Social are fat better !!! 
37,The place was very disappointing and doesn't live up to the hype. The manager was extremely rude and the food was average. You can find better places nearby. 
38,"Firang masquerading as a dj. Why would a club with great interiors need to stoop so low?! N pray why is the crappy music so loud for a lounge bar?! Can turn it down a notch there peeps! And further more, overpriced drinks that don't quite do much for the palate.Room for a lot of improvement"
39,"This place is perfect for a date night! With friendly staff, lip smacking drinks, great music - surprise your loved one by booking a table here! Although there are not many option is vegetarians here!"
40,"I visited this place with my friends and it was amazing.Totally mesmerized with the ambience and the interiors of this place.The Hong Kong club has a concept of fine dining with the club. Where in you can enjoy your food and can dance and listen to live bands, music and enjoy with your friends all at one place.Coming to food they have different chefs for different type of cooking.One for steam food,One for wok,One for barbeque,One for desserts.The chefs from all around the world comes together to make a memorable meal.We we had -Prawn dimsums - perfectly steamed dimsums with cooked prawn inside. Loved it the most.Lotus stem with potato - this was the best of all, crispy lotus...read more"
41,"Visited this place with my Partner and it was perfect.They have amazing cantonese + Chinese food and Chinese zodiac inspired cocktails.Such an amazing place in aerocity.The place lit such beautiful interiors and the sitting is so comfy and good.The servers are polite and helpful.We had quite a few things over here and our top picks would be -Cauliflower, red and chinese cabbage crystal dumplings,Crispy lotus roots, potato and five spices,Tossed vegetables lotus nut, onion seeds, garlic chives with wok fried bamboo and red rice preserved olive leaves & Chow mein, spring onions, garlic chives, bean sprouts.And In desserts the Tipsy chocolate brownie was amazing. 👍👍Iced bowl...read more"
42,"We went there for my birthday dinner, and it was the best decision we made! Being vegetarian we took the chefs tasting menu...and so so much food...and such good food. Dont go here expecting Indian Chinese dishes like manchurian, chili potatoes..this place celebrates Cantonese cuisine which focuses on celebrating natural flavors.. fantastic! The ambience with the live music is amazing and highly recommend this place especially for special occasions!"
43,"Starters1. Marinated green asparagus, mustard oil: perfect healthy appetizer which where your appetite!2. Spicy poached Eggplant, roasted garlic: Authentic and flavoursome3. Chilled Tofu, picante peanut sauce: Thought the Tofu was fresh, the flavors did not quite live up to the expectations4. Crunchy endives, pickle vegetables, peanut mustard: Fresh, healthy chilled rolls complemented perfectly with the peanut mustard dip5. Crispy lotus roots, potato and five spice: These were scrumptious, gastronomic and left me craving for meSoupHot n Sour Soup: Super authentic soup, might prove to be too authentic for some Indian taste buds!Cocktail: Sleeping DragonYummy strong Cocktail...read more"
44,"The place is awesome. No doubt about that. The staff is very courteous and attentive. But... The vibe is missing.It has been done up beautifully, however the buzz is missing. The bartender cooked up awesome cocktails. Definitely worth a try"
45,The place was okay. It was a bit shady. The staff didn't really know much about the club. Specially the manager. Didn't really tell me much about the offers or happy hours.
46,Love the ambience and music especially on weekends. The staff is friendly and professional. Plus the place is open till 4 am so great place to unwind.
47,"Location 5/5Ambiance 5/5Service 5/5Food 5/5Vibe 5/5I think this really sums up my review of The Hong Kong Club.So we reached Delhi around 11:00 PM, we were staying in Aerocity itself. So asked around and apparently this place is open till late and had very good reviews to so came here. And boy were we not disappointed.We were 8-9 of us so don't even remember what all things we ordered but have a look at some of the pictures. All I remember was we loved every dish that we ordered and were recommended by the staff.Would definitely go here for sure."
48,"Usually, I do not make the effort to write a review, but this time I felt *forced* as the Management hovered over my shoulder til I wrote something. Clearly, I had to be honest so I am reviewing my review, as I do not believe in inauthenticity.Everything would have been alright, even their mediocre Roasted Duck Salad (that they boast about), their Hand Pulled Noodle Soup and their Cantonese Sweet & Sour Pork but the experience was rather unfortunate, thanks to the management. After not being given adequate attention to being given too much attention, especially when you would like to have a private meal, and ""request for a review"" by the server, and after being told by a Mr. Park...read more"
49,Though the place is a fantastic getaway for people who love to dance and party late night. The place offers great food and the music is always great. The only demerit of the place is that it is very expensive but a worth try when you are looking for a safe party place. 
50,This is one of best place to hangout for a late night dinner and party.The management was super cool in terms of hospitality & served us with best Chinese cuisine.Everything about the place was awesome # being a vegetarian Got some scrumptious Cantonese food to eat # DJ played some lovely numbers # the artist on the drum kept every body on toes # Mohit Tomar gave us some good quick service of food and drinks # had very interesting cocktails 🍸 & lip smacking sweet dish .I loved the cake which was the great surprise after the awesome dinner that we had.My experience was awesome in all & my ratings is 5/5
51,The Hong Kong Club is the best place to visit in Delhi for best Chinese cuisine.The chefs are all from China 🇨🇳 & they serve us with best dishes of both veg & non veg .The management is very polite & we enjoyed our date night at the best .We will visit again soon & is highly recommended without any commercials. My ratings 5/5
52,"We had a very bad experience in another restaurant and had come here with low expectations. But I must say we had a fabulous evening with great food, good service. We ordered 5 mains and all were great. The stir fry vegetables were super and the bok Choy was amazing too. Chicken was the only dish which could have been better but was not bad, just a bit over salty. The fried rice was amazing. The icing on the cake was a spectacular dessert which looked fabulous and tasted divine. "
53,"The ambience and dj were above perfect. The food served at bar was good but could be done better, especially the appetisers.Overall good experience."
54,Very Contemporary MetropolitonExcellent Menu and DeliveryGood MusicExotic Ingredients SpaciousClassyHospitable StaffA bit over the top New York ExpensiveA must try!!
55,Bok Choy with rice wine is now one of my favourites because I tried it here and loved it. 👌Their gravy is what made this dish really stand out. 😍The service was quite friendly and welcoming. 😄And the ambience was plain and good 👍
56,Hong Kong club is a very amazing place for the hangout if u are around to aerocity.Best wine and champagne list in the menu. I visited with my Clints there. Ambience is so good and amazing for the staff they are superb specially at the bar Kanchen ashish mukul.I love this.
57,One of the best & hottest selling priority in delhi fetching out the best crowd of Delhi/NCR. Super classy & elite club. Best time to visit on weekends post 8 Pm. Great variety of alcohol & food! Amazing service & its worth every penny! So gear up yourself & visit this amazing club! See you there :) 
58,We had booked this place and even though it was republic day or dry day the next day we still came here just before ten and spent a good two hours here. The food here is extremely top notch and good. Although the portions are not very generous the place itself is grand and has a nice dJ and a violinist that strangely exhibit some nice music for you to enjoy. The waiters and staff are friendly. Buying a bottle of liquor makes more sense if you are more than two couples. We tried around 7 or 8 starters / appetisers and had a bottle of vodka with mixers and our bill came to around 17000. Overall much recommended. 
59,An experience completely. I am glad I could go here. It's a lovely place awesome music and the team at it is so much fun and hospitable. Love the food the dimsums the little detail to the preparation and the presentation. The zodiac cocktails are interesting but what is better is the way they are made and they way they look. It's awesome I could sit at the bar and watch whiley ECLIPSE was being prepared. Gorgeous and happy vibes. 
60,"I went for a launch event that day in Andaz Delhi I heard about this Hong Kong club and I loved having their food and drinks. The Cantonese food is excellent, the music was good, and the staff are excellent!I appreciate how the staff all do their best to make sure you feel important. It's a bit expensive but it's totally worth the money spent. Come here only if you relish authentic Cantonese food. ❤️"
61,"We were just 10 minutes delayed for our reservation and the manager Sohail refused to accommodate our group who were guests at andaz for a bachelorette thereby ruining our plan to party at that place,after asking him multiple times the deals he gave were unreasonable and lost a good amount of business for the club instead. "
62,"🎋♨️✈️ The Hong Kong Club An evening to remember. The Hong Kong Club is a manifestation of the pulsating and reverberating city of Hong Kong. It is located in Aerocity at Andaz Delhi and is a glass-clad structure surrounded by a moat like water body with a separate entry.HKC is a multi-level restaurant, bar, club and lounge, that has created an aura of pronounced chinoiserie ambience, playing on tenors of  colours and classic references.It serves contemporary cantonese cuisine,Chinese Zodiac Signs inspired cocktails and an array of international entertainers.We were welcomed by Sohil Bhargava,who took us for a tour of the swanky Club. He created a sense of drama by...read more"
63,"Had heard a lot about this place andbwere eager to try it. We were in a group of 7 seeking to have a good night. We ordered more than 6-7 dishes and 7-8 drinks.Couple of dishes were under cooked. The bao was just un-edible. Moreover there was a piece of stone in the fried rice that my friend chewed upon.Such a disappointment, being a weekend and festival night, it was a disaster for us, specially my fiancee who was fasting whole day to eat this.The staff was polite, the manager, waiter and the chefs came to our table saw the piece of stone and apologised us. When we asked for the check the were kind to settle it due to the inconvenience we faced.For the staff and management its a...read more"
64,"Was told a different cover charge on call (3k) and then a different entry fee - 5k (excluding cover charge) when we reached the place. A very bad experience. Not Recommended. There are better clubs in Delhi - Kitty Su, Keya, or Clique. "
65,Had huge expectations from this place since heard a lot about it. Had few glasses of JD and two dishes. The violin live performance was amazing but sadly that was the only good part. The food was sub par. The chicken dish was all soggy and the momos tasted stale. 
66,"Recently launched in the city, this place is a welcome change. We were welcomed into a spectacular oasis of water bodies, glass walls and well spread out modern Interiors. The enterance is grand though we felt there should be someone stationed to open the doors. It houses a private dining area - with a private bar counter to boot!We started with drinks - interestingly they are Chinese zodiac sign inspired. Drinks were on the house. I settled for the one with black pepper extract and rose inspired - mellow and subtle flavours and a concoction I would never find elsewhere. The starters were recommended by the Manager and were awesome."
67,Went on monday evening and it was totally empty but the place was very good with a good ambience and some nice asian food. Staff was very polite and trained. 
68,"Totally loved the ambience , food , drinks ... a mention for the outstanding service and a very well trained staff ! We tried the drink based on zodiac : simply loved the sleeping dragon ; the lotus stem stiffed with potatoes, cauliflower , water chestnut Dsums , the Baos veg n non veg were oustsnding ! Loved the place 😍😍😍"
69,I have been coming to Hong Kong Kong club for the past 4 months.. I really love the place.. a special shout out to Sahil Kapoor.. he is the best bar tender at the club.. really loved his cocktails.. highly recommend you get your drinks from him !!!
70,"I think I had the best evening of my life here at HK Club. I felt a chillllll down my spine as soon as I entered on a Sunday night at 12am. Even then, the place was although nearly empty, the DJ was killing it with some amazing deep house. We had a couple of drinks and I really liked my jasmine infused gin cocktail. Our bartender was great and the manager Sohil showed us around a bit. Quite a stud he is!I loved the place and could picture a crazy party here. It is a bit expensive - it's worth a visit.. suggest you pre drink and come.Cannot get the music out of my head still . :) "
71,"Avoid like plague .. average food, over priced drinks, and really bad senior staff. There are so many options available today, with better food, reasonably priced drinks, and good staff. No reason to visit this place."
72,"Went last night to celebrate a friend’s birthday. Can’t comment on food as we just had drinks. We had taken a table so we were served pretty well. Being a 5-star property, ambience here is obviously nice and everything is quite expensive. Live music was amazing and they switched to House music after that, which was great. Its opened till 3:30am, so thats an advantage if you’re looking to party longer. We had a good time. "
73,"The hong kong club, located at andaz hyatt Aerocity. One of the most super ambience cantonese food restaurant in town. An expensive restaurant with soft lighting and peaceful music in which one will be lost in a different world.Service is a bit slow here maybe because of the over crowd or other reasons, but it was a bit slow.Coming to the food, i guess my review will not be enough unless you get up and go to this restaurant to taste the best cantonese food ever.Heard of a violin night here, saw some clips of female violin player and she was amazing in the clips, i wonder how it will be like when live. Will definitely go there again to have the best experience of the food, the...read more"
74,"After a long day of travelling we were so hungry and since we were staying in the hotel it was convenient for us to come here. We were shown to a table immediately but also had the option of a drink at the bar first which I thought was nice. The table was small and cosy, quite romantic. The setting was just right. The service was absolutely fantastic!"
75,"Me and my wife went there for Saturday Night Dinner, after hearing and reading so much about this place, we were really excited to go here.The place turned out to be a big disappointment, the vibe and ambience is nice, but the food and drinks were not good.We ordered Roasted Duck Salad for appetizer and I ordered a dragon fire cocktail while my wife ordered a glass of Chile Red Wine.The salad was very bland, and the cocktail was also not that great.The worst part was their service, for being rated amongst the best dine out places in Delhi, their server was not responsive, also he insisted a lot for the review as his shift time was gonna get over soon. I asked him to refill some...read more"
76,"Called the paradise for the elite, the menu is exuberantly expensiveThe classic cocktails are nothing less than two grands while it can go upto 5lac a bottle as wellI had high expectations from the restaurant but nothing was so charming From the decor to the live music, I would perfectly call it average Calling for food, I wouldn’t like to recommend it to anyone "
77,An evening well spent with great food and good music ....there was live violin and saxophone.The food was great we ordered chicken and prawn Dumplings which was nice ...the sautéed French beans and Steam rice was the star combination. Loved the Chow mein .
78,"Love the place & the vibe.. top notch service , food & drinks. Floor manager Mr Mohit tomar deserves special praise.Bartenders are superb as well.Superb entertainment by brining in Saxophone player, voilinst,percussionist along with the Dj.Rudi on the saxophone is superb.But the management at the gate need to loosen up a bit, specially with regulars.. Mr Sohail at the gate is one of the rudest manager you will ever come across.Despite being there almost every weekend , spending huge amounts the guy at the gate is not at all adjustable.They charge 3000 INR entry post 10.30 pm on weekends,which is their choice ... But they got to loosen up a bit specially with the regulars who...read more"
79,"The Hong Kong club has a beautiful vibe to it. The ambience is really nice and has an island bar . Their chicken bao dimsums are my favourite.  Their service is efficient. The saxophonist on the weekends plays extremely well and lights  up the place.  I have had great memories here ! Food quality , service and concept is truely exceptional  ! "
80,"The ambience will make you go Oolala. If you’re able to take your eyes of the ambience, you can move on to socialising with people. But oh wait..I can hear the bilon and the saxophone being played along with some awesome background music. Its not letting me add the videos but definitely a night to remember. Cheers. "
81,"It was a fine day was in the mood to sit and eat somewhere really nice.I saw a picture by my friend while he was at hong kong club, i thought i should try and make a visit there.As soon as i entered, i was treated like a king! The service there is amazing. Food is delicious, the way they actually give a different flavour to every dish is amazing.So this place is for the ones who want a lovely ambience and great music to chill with friends.Thumbs up to the entire Andaz Team. "
82,"Excellent service with warm and courteous staff, food was good and authentic ambience was also perfect as it says Hong Kong Club. Ofcourse leading the legacy of Hyatt as a brand. Can focus on having more varient for drinks and savourys. A must go place with friends and family."
83,Came to the Hong Kong Club 2nd time. Was fantastic as usual. Great service by Gaurav and Abhishek. Awesome night and music. Loved the food. Perfect place to party. saxophonist was amazing.Thanks for the wonderful hospitality
84,The Ambience is very chic and eclectic. The bartenders are well versed with recommendations and its very interesting to sit at their bar. A must go place.  
85,"A place to be. The best cocktails and best food. The ambience is very lively and energetic. There is live music. Special mention for the amazing service by the staff. Staff members served me in the best possible way. Best place to hangout with friends and family also.Amazing place, amazing experience Must try."
86,"We wanted to explore this so hyped so called club. So we went on a Saturday night. To start with it’s nothing like a club. It’s a good dinner and drinks place. Very nicely decor done. Amazing cocktails and food, but what make any hospitality business different is the service, which at Hong Kong Club was really bad. To be specific service by Managers roaming in blue suits, to name one is Mohit. Very arrogant, not at all accommodating. They can do lot better with their staff and service. "
87,"A stupid place to chill dont waste your Saturday night at this stupid place ! No service no one is listening to what you need a crowded place. A silly price to enter so that the place gets full ! Staff full of attitude managers cant handle a thing, pathetic service and evening got ruined. "
88,"Nicely done up place with soothing music. More of a fine dine place than a club,its until very late that the music gets better. The appetizers were decent but the cocktails are a must try. Highlight of the evening was the special performances by the musicians. Do stay for that."
89,"Luxurious place for romantic dinner date. We were very warmly welcomed at the entrance and graciously attended by the staff. We loved the decor and its courteous staff. We ordered Cantonese Chicken, Roasted duck in appetisers. Followed by Battered tiger prawns in WOK section, Stuffed Quail in Barbeque. Its special Chinese zodiac based cocktails are so innovative and creative experience. Every dish is worth every penny, not found it very expensive as heard from others. Totally going to visit again soon."
90,"Had an amazing evening at The Hong Kong Club with wine and appetizers. The food has very authentic taste. Though the portions are less but every bite taste yummy and worth it of every penny. The club has a great combination of cuisine and friendly & well mannered staff. We were well treated by the staff named""Jaswinder"" as all the cuisine we tried under his recommendation was awesome.Also special thanks to the manager named Deepak, for such a well management. Keep it up, the team The Hong Kong Club."
91,"Great Service and very Courteous staff, the ambiance is nice and  casual yet abit on the formal so it kind of fits in all kinds of occasions.the food was nice but the portions were small.The Pork Bao and roasted duck salad very nice but again portions are less so it didn't really hit the spot exactly.all in all yes its a good place to go but nothing very enamouring to make you go the extra mile to go there for something specially.one can get a table till about 10 after that i think its difficult to get a reservation."
92,"As the name says HKC, you would not find anything in relation to Hong Kong, but yes the awesome decor, duplex seating, the fully-stocked up big center-bar, very experienced bar tenders,  the outstanding expat DJ.. complimented with a pro-saxophone player ,  excellent range of high end drinks, the food deserves a big thumps up for its' authenticity and taste....the  courteousness of the staff is simply outstanding..they know how to treat their customers well...pricing is really on the higher side as minimum bill for a couple with drinks would cost you approx 5k+ but then who is complaining for the fantastic music, awesome ambiance, perfect food,  outstanding service and yes..a friendly...read more"
93,Loved the food and ambience. Very well located. And love to visit here again. I hope no one else is offering such kind of menu in aerocity. Great efforts. Thanks.
94,I met with Kanchan who was super warm and helpful in helping us understand our taste and also provide us with a sense of belonging. Also we got the wine of our taste as also the food that was served on the sides!
95,This is the worst ever lounge in entire India. We were 2 couples on Sunday evening . One couple got late - we started ordering drinks . When the other couple came they didn’t allow them entry saying 2 couples can’t get entry even when the entire lounge was empty . Chicken bao sucks - stay away from this place pls. 
96,Great vibe... great service... great cocktails... sunwukong... and Kanchan makes them the best... a must visit... specially on Monday Tuesday Wednesday and Thursday... Friday and Saturday come early... just amazing...
97,Came to Andaz for a weekend getaway and decided to dine at The shingling Club for a nice cozy family dinner. While the drinks and cocktails were amazing the food was not as amazing to our expectation. The price v/s quantity was not justified. While the ambience is aimed at keeping the upscale vibes high it is the food that doesn’t justify. The service is outstanding and people are very friendly and courteous. Can drop in once for sure for an experience. 
98,Loved the entrance ...... awesome music.... amazing place ....... great place to chill with friends 💞💕🥂we ordered a thai style tofu dish yummy it was and chicken  cooked in pan asian style was awesome . Food ordered  was as per recommendation of the service staff . 🥂🥂
99,"What a place! A large club cum lounge ambience which turns into a full fledged club post 11 pm, this place has everything the night hoppers of Delhi look for. And even if it’s just food you’re interested in, this place will not disappoint.AmbienceSoft, subtle lighting with a smooth club decor. The lights are dimmed and music amped up post 11 pm. You can keep the party on till 4 in the morning - a rare treat for all the bar mongers of Delhi NCR.FoodServing Cantonese food, The Hong Kong Club is focused on a cuisine that may be new to Indian palette. Cantonese food, by nature, is slightly sweet. By sweet, I don’t mean dessert sweet, but you won’t find any hot dishes on the menu...read more"
100,what a amazing evening ... I came with my friend whom I met after 8year after school. spend great time and great place .. first time I have seen in a 5star hotels bar is taken by girl with full passion and skills. my friend! she was happy to see girl working behind the bar and serving amazing cocktails. 
101,"This is a great place to have Cantonese food, the food here tastes very good, the serive here is great and the ambience is very nice. Great place."
102,"One of the best places in Aerocity. Excellent food, great service. Loved the vibe, especially live saxophone by the DJ. Shoutout to Kanchan for taking such good care of us! "
103,Amazing ambience and hospitality. Music and decor was top notch. Although the place was a little empty on weekdays but on weekends it's one of the best party in town
104,"If you want to have a feel of luxury , this is the place. You might feel it a little over expensive but for a night I totally loved it. I tried their dimsums and I forgot to take the picture because they were so delicious 🙈. Drinks were fantastic , crowd was nice , staff was great.Totally loved the experience. Would recommend this place for sure for a luxury experience. Cheers 🍻"
105,The best place to visit .. best ambiance.. n the service.. AMAZINGGG:).  N special thanks to Miss.Puspa  Pradhan for taking care of our guests n arrangements with the cake . N the  music CRAZYY. Perfect place for partyyy😎🍻.. must visit  🍻
106,"Great place good food , could have a better quantity , great service @kanchan good job with the service n suggestions . Had a nice time , she made us a mocktail off the list which was awesome "
